alpha = 1.0000	alpha = 1.0000
gamma = 20.0000	gamma = 20.0000
prob.endemic = 0.9000	prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 449218208	seed = 466928436
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.9498	0	0	0	0.9999	0.50285
0.94975	1.0242	0	0	0.9999	0.50775
0.94955	2.0773	0	0	0.9999	0.5064
0.949	3.1625	0	0	0.9999	0.49685
0.95115	4.2668	0	0	0.9999	0.49995
0.9506	5.412	0	0	0.9999	0.483
0.9483	6.5842	0	0	0.9999	0.50045
0.95045	7.7912	0	0	0.9999	0.49125
0.9515	9.0413	0	0	0.9999	0.5078
0.9472	10.3334	0	0	0.9999	0.4791
0.94835	11.6667	0	0	0.9999	0.49935
0.9493	13.0508	0	0	0.9999	0.49455
0.9521	14.4783	0	0	0.9999	0.5095
0.95055	15.9688	0	0	0.9999	0.49895
0.9501	17.5082	0	0	0.9999	0.4807
0.9481	19.1085	0	0	0.9999	0.489
0.9514	20.7716	0	0	0.9999	0.50925
0.94765	22.5124	0	0	0.9999	0.4922
0.94825	24.3421	0	0	0.9999	0.49975
0.95105	26.236	0	0	0.9999	0.5052
0.94895	28.2607	0	0	0.9999	0.49455
0.95105	30.3785	0	0	0.9999	0.5009
0.95025	32.5936	0	0	0.9999	0.50935
0.948	34.8988	0	0	0.9999	0.49615
0.9475	37.4066	0	0	0.9999	0.505
0.94815	40.0781	0	0	0.9999	0.49675
0.95355	42.9626	0	0	0.9999	0.5256
0.94875	45.9887	0	0	0.9999	0.47715
0.9477	49.2773	0	0	0.9999	0.49425
0.95015	52.9033	0	0	0.9999	0.50315
0.9507	56.8854	0	0	0.9999	0.4872
0.95105	61.294	0	0	0.9999	0.50855
0.94995	66.273	0	0	0.9999	0.50215
0.94835	71.9936	0	0	0.9999	0.5004
0.94855	78.6272	0	0	0.9999	0.50285
0.951	86.7561	0	0	0.9999	0.50565
0.94855	96.7502	0	0	0.9999	0.49675
0.9492	110.05	0	0	0.9999	0.4844
0.9482	130.309	0	0	0.9999	0.49525
0.9485	170.834	0	0	0.9999	0.51215
