alpha = 0.1000	alpha = 0.1000
gamma = 15.0000	gamma = 15.0000
prob.endemic = 0.6000	prob.endemic = 0.6000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1723242015	seed = 833301973
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.8031	0	2.306	0.93895	0.9999	0.50345
0.7938	1.0127	2.3058	0.94035	0.9999	0.4986
0.78995	2.0374	2.3056	0.941	0.9999	0.49655
0.7968	3.073	2.3053	0.93935	0.9999	0.49515
0.79245	4.1195	2.3051	0.9405	0.9999	0.4995
0.7878	5.1777	2.3049	0.9412	0.9999	0.49805
0.7861	6.2527	2.3047	0.9411	0.9999	0.4957
0.7825	7.3409	2.3044	0.94175	0.9999	0.49715
0.7782	8.4425	2.3042	0.94215	0.9999	0.4959
0.77645	9.5547	2.304	0.94225	0.9999	0.50005
0.7738	10.6878	2.3037	0.94195	0.9999	0.50025
0.7721	11.8323	2.3035	0.94025	0.9999	0.4992
0.76695	12.9909	2.3033	0.93245	0.9999	0.4988
0.7678	14.165	2.3028	0.9067	0.9999	0.4991
0.76785	15.3672	2.3026	0.8434	0.9999	0.4979
0.77	16.6158	2.3021	0.7502	0.9999	0.4976
0.788	17.9453	2.3014	0.68405	0.9999	0.51545
0.81385	19.3745	2.3012	0.6692	0.9999	0.5325
0.847	20.941	2.30085	0.68575	0.9999	0.5596
0.86975	22.6789	2.3005	0.70145	0.9999	0.58205
0.88745	24.6032	2.3001	0.71455	0.9999	0.59965
0.9108	26.7171	2.2996	0.745	0.9999	0.6171
0.93635	29.0416	2.2991	0.77705	0.9999	0.65945
0.95	31.623	2.2987	0.80075	0.9999	0.67115
0.96225	34.4396	2.298	0.82385	0.9999	0.6779
0.97565	37.5215	2.2973	0.84515	0.9999	0.72415
0.9824	40.9293	2.2966	0.8595	0.9999	0.73865
0.99005	44.6169	2.2957	0.8716	0.9999	0.80735
0.99335	48.7255	2.2948	0.88045	0.9999	0.8236
0.9957	53.2097	2.2939	0.88685	0.9999	0.842
0.9978	58.1681	2.2928	0.89165	0.9999	0.87075
0.9987	63.575	2.2916	0.893	0.9999	0.9133
0.9995	69.793	2.2902	0.896	0.9999	0.9627
0.99945	76.9828	2.2886	0.8961	0.9999	0.9495
0.9998	85.2315	2.2868	0.89715	0.9999	0.9822
0.9999	95.2095	2.2847	0.8977	0.9999	0.9951
0.9999	107.463	2.28185	0.89735	0.9999	0.9932
0.9999	123.947	2.2784	0.89735	0.9999	0.99395
0.9999	148.647	2.2732	0.8967	0.9999	0.99665
0.9999	197.439	2.2632	0.8957	0.9999	0.99825
