alpha = 0.4600	alpha = 0.4600
gamma = 20.0000	gamma = 20.0000
prob.endemic = 0.0000	prob.endemic = 0.0000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1355328859	seed = 729084456
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.50185	0	641052	0.98405	0	0.50185
0.49535	1.0002	567617	0.9848	0.49995	0.49525
0.49955	2.0011	203563	0.98365	0	0.49955
0.4955	3.0029	143535	0.9825	0.5	0.49545
0.4999	4.0068	47185.1	0.9821	0.49995	0.49975
0.49445	5.0113	33661.1	0.98135	0.49995	0.4944
0.49775	6.0153	11916.9	0.97895	0.5	0.4977
0.4992	7.0217	6033.89	0.9781	0.5	0.49915
0.49855	8.0295	2941.86	0.97545	0.49995	0.4985
0.5003	9.0394	1509.22	0.9741	0	0.5003
0.49455	10.0498	808.17	0.97225	0.49995	0.4944
0.49705	11.0632	340.53	0.96875	0.49995	0.4969
0.495	12.0759	193.287	0.96535	0	0.495
0.48995	13.0899	105.094	0.9615	0.9999	0.4898
0.4904	14.1062	53.7329	0.9557	0.9999	0.49025
0.49065	15.1256	24.538	0.9451	0.9999	0.49055
0.4881	16.1492	12.2887	0.93405	0.9999	0.488
0.4848	17.1757	5.8439	0.9101	0	0.4848
0.48455	18.208	2.7451	0.86115	0	0.48455
0.4832	19.2455	1.27415	0.73775	0.49995	0.48315
0.4819	20.298	0.7765	0.47485	0.49995	0.48185
0.4812	21.388	0.30955	0.2614	0.4999	0.48115
0.4837	22.5245	0.1338	0.1742	0.49995	0.48355
0.48655	23.7218	0.05635	0.12815	0.99995	0.48645
0.4914	24.9723	0.0255	0.10195	0.49995	0.49135
0.4973	26.3052	0.01035	0.08695	0	0.4973
0.49575	27.727	0.00385	0.0702	0.99985	0.49565
0.4966	29.2519	0.0014	0.0592	0	0.4966
0.4965	30.9155	0.0004	0.0526	0.49995	0.49645
0.5069	32.7071	0.0002	0.04745	0.99985	0.5068
0.5015	34.684	0	0.04	0	0.5015
0.50365	36.8836	0	0.03795	0.9999	0.5033
0.50815	39.352	0	0.0327	0.4999	0.5081
0.51225	42.1635	0	0.0302	0.49995	0.51215
0.51425	45.4508	0	0.02845	0.9999	0.5141
0.51745	49.3879	0	0.02565	0.49995	0.5174
0.5181	54.2901	0	0.0246	0.9999	0.51795
0.5191	60.8345	0	0.02285	0.4999	0.519
0.53325	70.6009	0	0.02365	0.9999	0.5329
0.54285	90.8888	0	0.0271	0.9999	0.5425
