alpha = 0.2200	alpha = 0.2200
gamma = 10.0000	gamma = 10.0000
prob.endemic = 0.5000	prob.endemic = 0.5000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 830634219	seed = 1942425245
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.7496	0	1.53725	0.8854	0.9999	0.49755
0.74735	1.0097	1.6582	0.8862	0.9999	0.50005
0.74625	2.0307	1.5951	0.8855	0.9999	0.4958
0.7445	3.0631	1.7616	0.8858	0.9999	0.5016
0.7364	4.0998	1.8674	0.88645	0.9999	0.48995
0.73445	5.1479	1.9669	0.8863	0.9999	0.49715
0.7403	6.2066	1.73895	0.88205	0.9999	0.5013
0.7244	7.2748	1.8691	0.8816	0.9999	0.48865
0.7292	8.3565	1.55135	0.86585	0.9999	0.49335
0.73275	9.4513	1.5143	0.81605	0.9999	0.49945
0.72735	10.5619	1.5141	0.7042	0.9999	0.49715
0.7321	11.706	1.36485	0.57565	0.9999	0.497
0.7409	12.8879	1.3299	0.5203	0.9999	0.5059
0.7496	14.1389	1.38165	0.49265	0.9999	0.5106
0.7576	15.4551	1.50085	0.48175	0.9999	0.51355
0.76955	16.8535	1.51255	0.4794	0.9999	0.5164
0.7831	18.3334	1.5123	0.4825	0.9999	0.53545
0.79575	19.9149	1.5122	0.4896	0.9999	0.5384
0.80665	21.6079	1.512	0.50035	0.9999	0.5367
0.82045	23.4351	1.5117	0.51465	0.9999	0.54215
0.83755	25.4037	1.5114	0.5306	0.9999	0.55815
0.84755	27.503	1.5111	0.54495	0.9999	0.55645
0.86345	29.7973	1.5108	0.56495	0.9999	0.56665
0.87415	32.2923	1.5103	0.57605	0.9999	0.5779
0.887	35.057	1.51	0.5946	0.9999	0.5769
0.9055	38.0299	1.5096	0.62095	0.9999	0.58925
0.9194	41.3064	1.5091	0.64255	0.9999	0.59795
0.93295	44.9898	1.5087	0.66285	0.9999	0.6073
0.94165	49.0343	1.5081	0.6771	0.9999	0.6145
0.95435	53.5288	1.5074	0.6987	0.9999	0.6183
0.9635	58.4892	1.50665	0.7115	0.9999	0.6371
0.97255	64.1958	1.5059	0.72655	0.9999	0.65935
0.9819	70.6279	1.5049	0.7408	0.9999	0.7076
0.9846	78.1089	1.5039	0.7487	0.9999	0.6754
0.99	86.8287	1.5027	0.75765	0.9999	0.7078
0.994	97.4878	1.5012	0.7651	0.9999	0.7231
0.9963	110.737	1.4992	0.7696	0.9999	0.7355
0.99845	128.645	1.49675	0.77245	0.9999	0.8277
0.99945	155.347	1.493	0.77335	0.9999	0.9278
0.99985	208.786	1.4859	0.7728	0.9999	0.9908
