alpha = 0.2200	alpha = 0.2200
gamma = 0.0000	gamma = 0.0000
prob.endemic = 0.4000	prob.endemic = 0.4000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1414327041	seed = 1926501744
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.69865	0	1.5141	0.78	0.9999	0.4948
0.6991	1.0155	1.25205	0.60055	0.9999	0.49795
0.705	2.057	1.06445	0.51665	0.9999	0.50685
0.71055	3.1353	0.91625	0.47355	0.9999	0.5087
0.7241	4.2535	0.8939	0.4568	0.9999	0.5185
0.7176	5.4139	0.7343	0.4304	0.9999	0.5136
0.73165	6.6185	0.786	0.4305	0.9999	0.52125
0.74405	7.8777	0.89835	0.43385	0.9999	0.52965
0.7507	9.2079	1.0689	0.43515	0.9999	0.52835
0.7626	10.5988	1.2394	0.4394	0.9999	0.5369
0.77015	12.0573	1.48765	0.44555	0.9999	0.54025
0.7757	13.603	1.5115	0.45245	0.9999	0.53475
0.79045	15.2305	1.5113	0.46515	0.9999	0.54685
0.7953	16.9604	1.511	0.4677	0.9999	0.54875
0.8083	18.7775	1.5108	0.48305	0.9999	0.55275
0.8192	20.7314	1.5104	0.49215	0.9999	0.56555
0.8297	22.7928	1.5102	0.509	0.9999	0.56375
0.84365	24.9861	1.5099	0.5257	0.9999	0.57255
0.854	27.3415	1.5096	0.541	0.9999	0.57645
0.86585	29.9049	1.5091	0.55875	0.9999	0.5753
0.87925	32.6325	1.50875	0.5736	0.9999	0.59315
0.8862	35.5894	1.5084	0.58865	0.9999	0.5865
0.90265	38.7601	1.5079	0.61235	0.9999	0.59795
0.9089	42.1755	1.5075	0.6255	0.9999	0.58735
0.92745	45.946	1.5069	0.64935	0.9999	0.61205
0.9339	50.0331	1.5063	0.65915	0.9999	0.62385
0.9435	54.4685	1.5057	0.6765	0.9999	0.6282
0.95155	59.3184	1.5049	0.69315	0.9999	0.61815
0.96185	64.7112	1.5042	0.70795	0.9999	0.6348
0.9704	70.6273	1.50335	0.72085	0.9999	0.66495
0.97845	77.2992	1.5024	0.7339	0.9999	0.68355
0.98225	84.6369	1.5013	0.74155	0.9999	0.69
0.98665	93.0249	1.5001	0.74995	0.9999	0.70835
0.99155	102.701	1.4988	0.7585	0.9999	0.7418
0.99375	114.083	1.4971	0.7633	0.9999	0.72995
0.99615	127.955	1.4951	0.7671	0.9999	0.7797
0.9972	145.178	1.49255	0.76865	0.9999	0.80275
0.9989	167.884	1.4895	0.77155	0.9999	0.8672
0.99915	202.915	1.48465	0.7715	0.9999	0.8511
0.9999	270.235	1.4758	0.77025	0.9999	0.9954
