alpha = 0.1300	alpha = 0.1300
gamma = 5.0000	gamma = 5.0000
prob.endemic = 0.3000	prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 246152283	seed = 2062856950
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.6475	0	11.0916	0.9548	0.9999	0.495
0.6551	1.0041	7.471	0.9532	0.9999	0.5071
0.64855	2.0132	5.66045	0.9515	0.9999	0.49845
0.6446	3.0276	4.121	0.94805	0.9999	0.4991
0.6387	4.0458	2.80725	0.9348	0.9999	0.4989
0.64115	5.069	2.0402	0.8555	0.9999	0.49115
0.6468	6.1063	1.41005	0.6495	0.9999	0.49905
0.6554	7.1752	1.01405	0.5402	0.9999	0.5052
0.66325	8.288	0.75145	0.4813	0.9999	0.51305
0.6739	9.4635	0.60175	0.45175	0.9999	0.5212
0.68785	10.7139	0.52455	0.4391	0.9999	0.5267
0.7032	12.0477	0.5306	0.43845	0.9999	0.53605
0.70935	13.4727	0.45385	0.42945	0.9999	0.53875
0.72935	15.0117	0.54395	0.442	0.9999	0.5543
0.7471	16.7042	0.7418	0.45695	0.9999	0.56255
0.76785	18.5173	1.06725	0.4739	0.9999	0.5802
0.7829	20.4718	1.5684	0.4939	0.9999	0.58135
0.79915	22.6299	2.0348	0.51475	0.9999	0.58745
0.8115	24.9918	2.0347	0.53135	0.9999	0.5915
0.8371	27.5733	2.0345	0.56925	0.9999	0.60435
0.85775	30.4772	2.034	0.5996	0.9999	0.6164
0.8745	33.6787	2.0335	0.6272	0.9999	0.62165
0.89665	37.2322	2.0329	0.6662	0.9999	0.63235
0.91525	41.1408	2.0323	0.69645	0.9999	0.65625
0.9317	45.5059	2.0314	0.7232	0.9999	0.67435
0.94305	50.3676	2.0305	0.7484	0.9999	0.6769
0.9581	55.6426	2.0296	0.77605	0.9999	0.70425
0.96855	61.5282	2.0284	0.7973	0.9999	0.71825
0.9779	68.1557	2.0272	0.8175	0.9999	0.7406
0.9863	75.4541	2.0258	0.83185	0.9999	0.7868
0.99015	83.6085	2.0243	0.84205	0.9999	0.8033
0.99375	92.7601	2.0225	0.8501	0.9999	0.8241
0.99595	103.067	2.0205	0.85455	0.9999	0.86235
0.99785	114.999	2.0183	0.85995	0.9999	0.8922
0.99895	128.847	2.0156	0.86195	0.9999	0.93715
0.99955	145.549	2.0124	0.86385	0.9999	0.96305
0.99965	165.919	2.0082	0.86395	0.9999	0.97385
0.99975	193.542	2.0031	0.8638	0.9999	0.97595
0.9999	234.379	1.9955	0.8635	0.9999	0.99805
0.9999	314.611	1.9815	0.8615	0.9999	0.9986
