alpha = 0.2200	alpha = 0.2200
gamma = 20.0000	gamma = 20.0000
prob.endemic = 0.9000	prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1797757184	seed = 248398828
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.95125	0	1.5172	0.8023	0.9999	0.51655
0.94895	1.0232	1.517	0.8022	0.9999	0.49235
0.9459	2.0701	1.5169	0.80415	0.9999	0.5087
0.94515	3.1365	1.5167	0.8034	0.9999	0.48595
0.9481	4.2268	1.5166	0.80275	0.9999	0.5045
0.9429	5.3439	1.5164	0.80425	0.9999	0.48555
0.9431	6.4946	1.5162	0.80425	0.9999	0.4938
0.9445	7.6707	1.5161	0.8044	0.9999	0.51015
0.9375	8.8806	1.5159	0.8065	0.9999	0.49285
0.9381	10.1178	1.5156	0.8059	0.9999	0.49015
0.93495	11.3921	1.5155	0.80665	0.9999	0.48595
0.93795	12.7078	1.5153	0.8058	0.9999	0.4973
0.93105	14.0638	1.515	0.8079	0.9999	0.49665
0.93145	15.4387	1.5149	0.8053	0.9999	0.4909
0.92705	16.8752	1.5147	0.80235	0.9999	0.5058
0.9276	18.3275	1.5144	0.7927	0.9999	0.4898
0.928	19.8761	1.5141	0.7724	0.9999	0.4996
0.92855	21.4738	1.514	0.7464	0.9999	0.5013
0.93435	23.1408	1.5137	0.72665	0.9999	0.5121
0.93915	24.8847	1.5134	0.7171	0.9999	0.50475
0.94235	26.7366	1.5131	0.7091	0.9999	0.5187
0.9531	28.7086	1.5128	0.7164	0.9999	0.53945
0.9587	30.8107	1.5125	0.72125	0.9999	0.5439
0.9643	33.0523	1.5122	0.7258	0.9999	0.56405
0.97005	35.467	1.5119	0.7341	0.9999	0.5516
0.9757	38.0474	1.5114	0.74205	0.9999	0.56855
0.9799	40.9087	1.511	0.7464	0.9999	0.5882
0.98355	43.927	1.5105	0.75115	0.9999	0.61225
0.9856	47.2526	1.51	0.75635	0.9999	0.5804
0.989	50.8076	1.5096	0.76135	0.9999	0.58685
0.9924	54.7853	1.509	0.76505	0.9999	0.6457
0.9948	59.2267	1.5084	0.76925	0.9999	0.6502
0.9964	64.1715	1.5076	0.771	0.9999	0.70455
0.9969	69.9946	1.5067	0.77285	0.9999	0.6645
0.99815	76.6756	1.5057	0.7743	0.9999	0.71135
0.9992	84.8589	1.5046	0.7758	0.9999	0.8194
0.9994	94.9619	1.5031	0.77635	0.9999	0.80925
0.99955	108.401	1.5012	0.77625	0.9999	0.7664
0.9997	128.397	1.49845	0.77605	0.9999	0.764
0.9999	167.89	1.4933	0.77505	0.9999	0.49975
