age_last_spacer,a,pEndemic,g
51.2788,0.13,0.2,0.0
24.3061,0.13,0.9,15.0
22.9031,0.17,0.3,5.0
32.4922,0.22,0.7,0.0
14.2234,0.1,0.3,15.0
31.8968,0.36,0.6,0.0
13.9748,0.6,0.2,15.0
50.402,0.1,0.3,0.0
23.9494,0.77,0.8,10.0
16.9297,0.28,0.6,15.0
23.8014,0.13,0.3,5.0
23.0595,0.13,0.8,10.0
46.4781,0.17,0.2,0.0
25.1097,0.22,0.6,5.0
26.1146,0.22,0.7,5.0
43.5447,0.17,0.3,0.0
22.2571,0.13,0.2,5.0
25.8798,0.13,0.9,10.0
18.4299,0.28,0.7,15.0
56.8566,0.1,0.2,0.0
26.1438,0.77,0.9,10.0
13.6859,0.1,0.2,15.0
31.0234,0.36,0.7,0.0
14.7799,0.6,0.3,15.0
34.1705,0.22,0.6,0.0
20.8922,0.17,0.2,5.0
46.9496,0.13,0.3,0.0
20.6832,0.13,0.8,15.0
15.9435,0.6,0.0,20.0
16.4617,0.1,0.1,20.0
17.8955,0.28,0.6,10.0
18.0012,0.28,0.4,20.0
24.7973,0.1,0.3,5.0
22.9317,0.77,0.8,15.0
12.2485,0.1,0.3,10.0
24.1027,0.36,0.6,5.0
13.2348,0.6,0.2,10.0
19.9428,0.13,0.7,20.0
12.7835,0.22,0.0,15.0
15.541,0.13,0.5,10.0
22.0919,0.77,0.7,20.0
30.0473,0.46,0.7,0.0
14.5608,0.28,0.0,5.0
13.6828,0.17,0.2,15.0
28.2106,0.6,0.2,0.0
12.7952,0.46,0.0,15.0
27.6625,0.77,0.2,0.0
13.2281,0.36,0.1,15.0
18.695,0.77,0.5,10.0
17.3431,0.22,0.3,20.0
10.9398,0.22,0.1,10.0
14.8268,0.13,0.4,15.0
23.7252,0.46,0.6,5.0
12.4369,0.17,0.3,10.0
35.0398,0.28,0.1,0.0
16.7643,0.36,0.2,20.0
20.1951,0.6,0.3,5.0
17.3092,0.46,0.3,20.0
21.2794,0.77,0.3,5.0
11.6281,0.46,0.1,10.0
10.5476,0.36,0.0,10.0
16.4418,0.17,0.1,20.0
21.6635,0.28,0.8,20.0
16.3297,0.77,0.4,15.0
18.0091,0.13,0.4,20.0
26.7289,0.22,0.8,5.0
14.3154,0.22,0.3,15.0
17.8753,0.13,0.6,10.0
20.573,0.28,0.3,5.0
20.8825,0.28,0.8,15.0
13.1965,0.17,0.1,15.0
31.0277,0.46,0.4,0.0
18.2423,0.77,0.4,20.0
27.5105,0.6,0.1,0.0
13.8076,0.36,0.2,15.0
14.5447,0.46,0.3,15.0
27.2304,0.77,0.1,0.0
29.9652,0.36,0.8,0.0
20.2451,0.77,0.6,10.0
16.1144,0.22,0.0,20.0
29.4813,0.22,0.9,0.0
11.7017,0.22,0.2,10.0
18.0963,0.13,0.7,15.0
10.1872,0.17,0.0,10.0
37.0636,0.28,0.2,0.0
25.4343,0.28,0.9,10.0
22.4191,0.46,0.5,5.0
16.9217,0.6,0.0,5.0
16.0317,0.46,0.0,20.0
16.3946,0.36,0.1,20.0
13.2574,0.36,0.3,10.0
18.6397,0.77,0.0,5.0
12.5712,0.46,0.2,10.0
27.2144,0.36,0.9,5.0
20.8519,0.77,0.7,15.0
16.8469,0.17,0.2,20.0
23.1199,0.22,0.4,5.0
21.1294,0.13,0.8,20.0
26.5866,0.17,0.0,0.0
19.8198,0.13,0.1,5.0
29.4841,0.46,0.8,0.0
15.0745,0.28,0.4,15.0
23.8166,0.77,0.8,20.0
62.9182,0.1,0.1,0.0
12.8112,0.6,0.0,15.0
33.36,0.36,0.4,0.0
13.198,0.1,0.1,15.0
36.0975,0.22,0.5,0.0
18.5249,0.17,0.1,5.0
28.3355,0.13,0.0,0.0
16.8795,0.1,0.2,20.0
17.3443,0.6,0.3,20.0
27.4131,0.46,0.9,5.0
15.8574,0.28,0.5,10.0
20.3668,0.28,0.7,20.0
14.6112,0.1,0.0,5.0
12.172,0.6,0.1,10.0
22.995,0.36,0.5,5.0
10.0772,0.1,0.0,10.0
11.2455,0.6,0.0,10.0
21.6547,0.36,0.4,5.0
10.6434,0.1,0.1,10.0
19.59,0.28,0.6,20.0
21.061,0.1,0.1,5.0
26.0735,0.46,0.8,5.0
14.1757,0.28,0.4,10.0
17.3976,0.1,0.3,20.0
16.7541,0.6,0.2,20.0
54.3558,0.13,0.1,0.0
14.3609,0.17,0.0,5.0
38.088,0.22,0.4,0.0
13.3333,0.6,0.1,15.0
32.5261,0.36,0.5,0.0
12.7885,0.1,0.0,15.0
29.8831,0.1,0.0,0.0
28.6897,0.46,0.9,0.0
15.8963,0.28,0.5,15.0
25.5708,0.77,0.9,20.0
14.3134,0.13,0.0,5.0
23.6701,0.13,0.9,20.0
46.1895,0.17,0.1,0.0
24.2899,0.22,0.5,5.0
19.167,0.77,0.6,15.0
17.3284,0.17,0.3,20.0
12.1711,0.36,0.2,10.0
19.556,0.77,0.1,5.0
13.5852,0.46,0.3,10.0
26.3179,0.36,0.8,5.0
17.9775,0.6,0.1,5.0
16.3587,0.46,0.1,20.0
16.0663,0.36,0.0,20.0
10.8169,0.17,0.1,10.0
36.7904,0.28,0.3,0.0
22.7948,0.28,0.8,10.0
21.0376,0.46,0.4,5.0
16.3776,0.13,0.6,15.0
12.6508,0.22,0.3,10.0
16.4515,0.22,0.1,20.0
30.7701,0.22,0.8,0.0
21.8629,0.77,0.7,10.0
14.4424,0.36,0.3,15.0
13.8324,0.46,0.2,15.0
27.0148,0.77,0.0,0.0
29.0723,0.36,0.9,0.0
26.3768,0.6,0.0,0.0
19.2454,0.28,0.2,5.0
24.3654,0.28,0.9,15.0
12.7818,0.17,0.0,15.0
31.0256,0.46,0.5,0.0
19.3233,0.77,0.5,20.0
20.4,0.13,0.7,10.0
13.7011,0.22,0.2,15.0
27.7021,0.22,0.9,5.0
18.6932,0.13,0.5,20.0
19.8665,0.22,0.2,5.0
35.5155,0.17,0.6,0.0
26.6939,0.13,0.7,5.0
24.2358,0.22,0.9,15.0
27.5818,0.28,0.9,5.0
13.7129,0.28,0.2,15.0
34.0363,0.1,0.7,0.0
21.0844,0.36,0.8,15.0
18.1956,0.6,0.6,15.0
17.9742,0.1,0.7,15.0
24.603,0.46,0.9,15.0
33.4916,0.36,0.2,0.0
40.3862,0.22,0.3,0.0
26.3855,0.17,0.7,5.0
36.1926,0.13,0.6,0.0
22.7606,0.22,0.8,10.0
17.9906,0.1,0.4,20.0
19.1162,0.6,0.5,20.0
30.5495,0.28,0.8,0.0
12.7903,0.28,0.3,10.0
16.4008,0.28,0.1,20.0
21.2594,0.17,0.8,20.0
26.5054,0.1,0.6,5.0
21.1115,0.6,0.7,10.0
25.4843,0.36,0.9,10.0
23.1316,0.46,0.8,10.0
17.8172,0.1,0.6,10.0
20.2212,0.36,0.3,5.0
16.8637,0.13,0.2,20.0
15.6738,0.22,0.5,15.0
10.1446,0.13,0.0,10.0
30.3956,0.46,0.2,0.0
23.4516,0.28,0.5,5.0
18.1581,0.17,0.7,15.0
16.6683,0.77,0.2,20.0
29.1778,0.6,0.7,0.0
15.2461,0.36,0.4,15.0
16.3813,0.46,0.5,15.0
28.3226,0.77,0.7,0.0
12.2277,0.77,0.0,10.0
19.4169,0.22,0.6,20.0
13.9563,0.22,0.4,10.0
13.207,0.13,0.1,15.0
19.9448,0.46,0.3,5.0
17.7465,0.17,0.6,10.0
35.922,0.28,0.4,0.0
21.0454,0.1,0.8,20.0
23.5211,0.6,0.6,5.0
19.916,0.46,0.6,20.0
20.6344,0.36,0.7,20.0
25.0558,0.6,0.9,20.0
16.0499,0.36,0.5,10.0
24.1944,0.77,0.6,5.0
14.9061,0.46,0.4,10.0
13.4619,0.77,0.1,15.0
18.0221,0.17,0.4,20.0
12.8876,0.77,0.0,15.0
18.7159,0.17,0.5,20.0
14.4888,0.36,0.4,10.0
25.1213,0.77,0.7,5.0
16.4286,0.46,0.5,10.0
23.6932,0.1,0.9,20.0
24.6902,0.6,0.7,5.0
20.9695,0.46,0.7,20.0
19.7615,0.36,0.6,20.0
22.7848,0.6,0.8,20.0
18.4888,0.46,0.2,5.0
20.2457,0.17,0.7,10.0
34.3502,0.28,0.5,0.0
12.7792,0.13,0.0,15.0
15.6775,0.22,0.5,10.0
20.1613,0.22,0.7,20.0
13.2328,0.77,0.1,10.0
16.0658,0.36,0.5,15.0
15.3945,0.46,0.4,15.0
28.1794,0.77,0.6,0.0
29.1133,0.6,0.6,0.0
30.8519,0.46,0.3,0.0
22.4636,0.28,0.4,5.0
16.5819,0.17,0.6,15.0
17.3898,0.77,0.3,20.0
10.731,0.13,0.1,10.0
14.9695,0.22,0.4,15.0
17.3556,0.13,0.3,20.0
19.0269,0.6,0.6,10.0
22.8819,0.36,0.8,10.0
25.5168,0.46,0.9,10.0
20.308,0.1,0.7,10.0
18.5884,0.36,0.2,5.0
16.066,0.28,0.0,20.0
23.7708,0.17,0.9,20.0
26.9827,0.1,0.7,5.0
29.2713,0.28,0.9,0.0
11.858,0.28,0.2,10.0
18.6745,0.1,0.5,20.0
18.1331,0.6,0.4,20.0
25.6474,0.22,0.9,10.0
33.9894,0.13,0.7,0.0
25.7793,0.17,0.6,5.0
41.8838,0.22,0.2,0.0
24.4081,0.36,0.9,15.0
19.7948,0.6,0.7,15.0
16.3223,0.1,0.6,15.0
21.4729,0.46,0.8,15.0
33.6246,0.36,0.3,0.0
36.808,0.1,0.6,0.0
26.4677,0.28,0.8,5.0
14.3736,0.28,0.3,15.0
20.8325,0.22,0.8,15.0
26.2632,0.13,0.6,5.0
33.1465,0.17,0.7,0.0
21.597,0.22,0.3,5.0
