max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
0,0.23,9,0.1333,5,0.1172,1.7254,7.5874,0.77,0.0,0.4
6,0.5149,0,0.0,9,0.3375,0.0,0.0,0.6,15.0,0.9
6,0.8467,0,0.0,9,0.4566,0.0,0.0,0.36,15.0,0.7
0,0.9,9,0.8989,2,0.8336,1.0012,3.3029,0.1,0.0,0.8
4,0.776,0,0.0,9,0.0686,0.0,0.0,0.77,10.0,0.3
2,0.8641,9,0.8222,6,0.746,1.051,3.204,0.17,5.0,0.8
6,0.9929,0,0.0,9,0.8053,0.0,0.0,0.22,20.0,0.5
4,0.8689,9,0.6651,8,0.6385,1.3064,1.7141,0.22,10.0,0.7
0,0.87,9,0.869,2,0.8331,1.0012,3.4154,0.13,0.0,0.9
6,0.9994,0,0.0,9,0.9172,0.0,0.0,0.13,15.0,0.2
5,0.9357,0,0.0,9,0.5982,0.0,0.0,0.17,10.0,0.5
0,0.72,9,0.71,3,0.6018,1.0141,5.3559,0.28,0.0,0.7
0,0.9417,0,0.0,9,0.0852,0.0,0.0,0.46,5.0,0.0
6,0.9966,0,0.0,9,0.846,0.0,0.0,0.36,20.0,0.4
0,0.6541,9,0.2692,7,0.2209,2.4298,4.21,0.6,5.0,0.5
6,0.9805,0,0.0,9,0.6839,0.0,0.0,0.46,20.0,0.5
1,0.5318,9,0.1291,7,0.1189,4.1193,4.6972,0.77,5.0,0.5
4,0.9147,9,0.8874,8,0.8684,1.0308,2.3391,0.1,10.0,0.9
4,0.7147,0,0.0,9,0.3892,0.0,0.0,0.46,10.0,0.7
4,0.822,0,0.0,9,0.4259,0.0,0.0,0.36,10.0,0.6
4,0.552,9,0.3081,8,0.3071,1.7916,2.0547,0.6,10.0,0.8
2,0.9106,9,0.8986,5,0.8656,1.0134,2.8206,0.1,5.0,0.9
7,0.9603,0,0.0,9,0.7241,0.0,0.0,0.17,20.0,0.7
5,0.9681,0,0.0,9,0.5654,0.0,0.0,0.77,15.0,0.2
0,0.9605,9,0.4329,8,0.3248,2.2188,3.2343,0.22,5.0,0.1
0,0.83,9,0.8229,2,0.6211,1.0086,4.8836,0.17,0.0,0.5
2,0.9451,9,0.822,6,0.6189,1.1498,3.0786,0.13,5.0,0.4
0,0.4,9,0.3752,3,0.3441,1.0661,6.6254,0.6,0.0,0.8
6,0.899,0,0.0,9,0.7208,0.0,0.0,0.17,15.0,0.8
5,0.9996,0,0.0,9,0.9192,0.0,0.0,0.28,15.0,0.1
0,0.9,9,0.8966,2,0.6539,1.0038,4.2095,0.1,0.0,0.4
