max_left_position,max_left_value,max_right_position,max_right_value,min_position,min_value,ratio_of_peaks,euclidean_distance,a,g,pEndemic
5,0.9986,0,0.0,9,0.8817,0.0,0.0,0.22,15.0,0.2
2,0.8021,9,0.7755,6,0.7345,1.0343,3.1963,0.22,5.0,0.9
6,0.9964,0,0.0,9,0.8649,0.0,0.0,0.13,20.0,0.5
1,0.9416,9,0.556,7,0.3842,1.6935,3.2608,0.22,5.0,0.2
0,0.83,9,0.8254,2,0.6656,1.0056,4.3947,0.17,0.0,0.6
2,0.9097,9,0.8607,6,0.7432,1.0569,2.8352,0.13,5.0,0.7
6,0.8268,0,0.0,9,0.7283,0.0,0.0,0.22,15.0,0.9
2,0.7481,9,0.7116,6,0.674,1.0513,3.5824,0.28,5.0,0.9
5,0.9975,0,0.0,9,0.8529,0.0,0.0,0.28,15.0,0.2
0,0.9,9,0.8984,2,0.791,1.0018,3.3333,0.1,0.0,0.7
6,0.7787,0,0.0,9,0.5038,0.0,0.0,0.36,15.0,0.8
6,0.8109,0,0.0,9,0.272,0.0,0.0,0.6,15.0,0.6
6,0.9582,0,0.0,9,0.7679,0.0,0.0,0.1,15.0,0.7
6,0.6276,0,0.0,9,0.4692,0.0,0.0,0.46,15.0,0.9
0,0.64,9,0.4834,5,0.2756,1.324,7.1868,0.36,0.0,0.2
0,0.78,9,0.7426,3,0.4474,1.0504,6.0429,0.22,0.0,0.3
2,0.8817,9,0.8146,6,0.6969,1.0824,3.0408,0.17,5.0,0.7
0,0.87,9,0.8667,2,0.7134,1.0038,4.0203,0.13,0.0,0.6
5,0.8405,9,0.718,8,0.6781,1.1706,1.9393,0.22,10.0,0.8
6,0.9994,0,0.0,9,0.9294,0.0,0.0,0.1,20.0,0.4
6,0.9672,0,0.0,9,0.615,0.0,0.0,0.6,20.0,0.5
0,0.72,9,0.714,2,0.6458,1.0084,5.3098,0.28,0.0,0.8
4,0.9438,0,0.0,9,0.3963,0.0,0.0,0.28,10.0,0.3
0,0.966,5,1.0,0,0.966,0.966,0.517,0.28,20.0,0.1
7,0.9245,0,0.0,9,0.7265,0.0,0.0,0.17,20.0,0.8
2,0.94,9,0.8884,6,0.7412,1.0581,2.7665,0.1,5.0,0.6
4,0.6245,0,0.0,9,0.2654,0.0,0.0,0.6,10.0,0.7
4,0.6902,9,0.6028,8,0.5807,1.145,2.2083,0.36,10.0,0.9
4,0.6638,9,0.4496,8,0.4287,1.4764,2.0172,0.46,10.0,0.8
5,0.9526,9,0.7779,8,0.7689,1.2246,1.4212,0.1,10.0,0.6
1,0.8651,9,0.4274,7,0.3165,2.0241,3.7171,0.36,5.0,0.3
0,0.9717,5,1.0,0,0.9717,0.9717,8.6675,0.13,20.0,0.2
6,0.9681,0,0.0,9,0.6291,0.0,0.0,0.22,15.0,0.5
3,0.9973,0,0.0,9,0.7859,0.0,0.0,0.13,10.0,0.0
0,0.54,9,0.3432,5,0.2124,1.5734,7.3222,0.46,0.0,0.2
1,0.8503,9,0.6388,6,0.4863,1.3311,3.5978,0.28,5.0,0.5
6,0.9269,0,0.0,9,0.6673,0.0,0.0,0.17,15.0,0.7
0,0.8067,5,0.9983,0,0.8067,0.8081,8.9691,0.77,20.0,0.2
0,0.4,9,0.3609,4,0.3159,1.1083,7.1459,0.6,0.0,0.7
6,0.9699,0,0.0,9,0.5875,0.0,0.0,0.36,15.0,0.4
6,0.9213,0,0.0,9,0.4262,0.0,0.0,0.46,15.0,0.5
0,0.23,9,0.1902,6,0.1766,1.2093,7.123,0.77,0.0,0.7
3,0.9187,0,0.0,9,0.1303,0.0,0.0,0.77,10.0,0.0
7,0.9771,0,0.0,9,0.7326,0.0,0.0,0.22,20.0,0.6
5,0.939,0,0.0,9,0.4873,0.0,0.0,0.22,10.0,0.4
5,0.9999,0,0.0,9,0.9595,0.0,0.0,0.13,15.0,0.1
1,0.8227,9,0.3153,7,0.2428,2.6093,3.9193,0.46,5.0,0.3
5,0.9179,0,0.0,9,0.6687,0.0,0.0,0.17,10.0,0.6
0,0.72,9,0.6822,3,0.4558,1.0554,6.1948,0.28,0.0,0.4
7,0.957,0,0.0,9,0.8142,0.0,0.0,0.1,20.0,0.8
1,0.6065,9,0.2998,7,0.2591,2.023,4.2499,0.6,5.0,0.6
6,0.9453,0,0.0,9,0.5666,0.0,0.0,0.46,20.0,0.6
6,0.9075,0,0.0,9,0.5542,0.0,0.0,0.36,20.0,0.7
7,0.5657,0,0.0,9,0.3556,0.0,0.0,0.6,20.0,0.9
4,0.8607,0,0.0,9,0.3716,0.0,0.0,0.36,10.0,0.5
1,0.4765,9,0.1517,7,0.1401,3.1411,4.6514,0.77,5.0,0.6
5,0.859,0,0.0,9,0.2421,0.0,0.0,0.46,10.0,0.4
5,0.9865,0,0.0,9,0.7052,0.0,0.0,0.77,15.0,0.1
6,0.9987,0,0.0,9,0.9003,0.0,0.0,0.17,20.0,0.4
4,0.995,0,0.0,9,0.826,0.0,0.0,0.77,15.0,0.0
6,0.9946,0,0.0,9,0.8381,0.0,0.0,0.17,20.0,0.5
5,0.8934,0,0.0,9,0.3292,0.0,0.0,0.36,10.0,0.4
0,0.4091,9,0.1713,7,0.1611,2.3882,4.4464,0.77,5.0,0.7
4,0.815,0,0.0,9,0.2813,0.0,0.0,0.46,10.0,0.5
7,0.9275,0,0.0,9,0.8526,0.0,0.0,0.1,20.0,0.9
1,0.5563,9,0.3273,6,0.2922,1.6997,4.3714,0.6,5.0,0.7
7,0.8806,0,0.0,9,0.4828,0.0,0.0,0.46,20.0,0.7
6,0.9593,0,0.0,9,0.6289,0.0,0.0,0.36,20.0,0.6
7,0.7081,0,0.0,9,0.3519,0.0,0.0,0.6,20.0,0.8
0,0.8637,9,0.2463,8,0.1972,3.5067,3.8758,0.46,5.0,0.2
5,0.898,9,0.7284,8,0.6943,1.2328,1.671,0.17,10.0,0.7
0,0.72,9,0.6971,3,0.5069,1.0329,5.7601,0.28,0.0,0.5
5,1.0,0,0.0,9,0.9842,0.0,0.0,0.13,15.0,0.0
5,0.9183,0,0.0,9,0.5368,0.0,0.0,0.22,10.0,0.5
7,0.9474,0,0.0,9,0.6705,0.0,0.0,0.22,20.0,0.7
3,0.8785,0,0.0,9,0.0932,0.0,0.0,0.77,10.0,0.1
6,0.9416,0,0.0,9,0.5004,0.0,0.0,0.36,15.0,0.5
6,0.9568,0,0.0,9,0.5216,0.0,0.0,0.46,15.0,0.4
0,0.23,9,0.1736,5,0.1559,1.3249,7.2595,0.77,0.0,0.6
0,0.4,9,0.3449,4,0.284,1.1598,6.9929,0.6,0.0,0.6
0,0.54,9,0.4082,5,0.268,1.3229,7.1516,0.46,0.0,0.3
1,0.8763,9,0.6001,7,0.4375,1.4603,3.5801,0.28,5.0,0.4
6,0.9548,0,0.0,9,0.6577,0.0,0.0,0.17,15.0,0.6
0,0.7416,5,0.9927,0,0.7416,0.7471,8.5626,0.77,20.0,0.3
5,0.9927,0,0.0,9,0.6849,0.0,0.0,0.13,10.0,0.1
6,0.985,0,0.0,9,0.7004,0.0,0.0,0.22,15.0,0.4
6,0.9999,0,0.0,9,0.957,0.0,0.0,0.13,20.0,0.3
4,0.6862,0,0.0,9,0.2157,0.0,0.0,0.6,10.0,0.6
4,0.7389,9,0.5614,8,0.5292,1.3162,1.9868,0.36,10.0,0.8
4,0.6061,9,0.4989,8,0.4834,1.2149,2.1801,0.46,10.0,0.9
4,0.9406,9,0.8274,8,0.7959,1.1368,1.7178,0.1,10.0,0.7
0,0.8946,9,0.3533,7,0.2711,2.5321,3.6844,0.36,5.0,0.2
0,0.9928,5,1.0,0,0.9928,0.9928,8.5217,0.28,20.0,0.0
7,0.8785,0,0.0,9,0.7711,0.0,0.0,0.17,20.0,0.9
2,0.9307,9,0.8945,6,0.7821,1.0405,2.7083,0.1,5.0,0.7
0,0.72,9,0.7171,2,0.6812,1.004,4.8685,0.28,0.0,0.9
4,0.9626,0,0.0,9,0.4266,0.0,0.0,0.28,10.0,0.2
6,0.997,0,0.0,9,0.8823,0.0,0.0,0.1,20.0,0.5
0,0.743,6,0.9887,0,0.743,0.7515,8.3968,0.6,20.0,0.4
4,0.8127,9,0.7569,8,0.7282,1.0737,2.2388,0.22,10.0,0.9
0,0.87,9,0.8681,2,0.762,1.0022,3.956,0.13,0.0,0.7
2,0.8968,9,0.8058,6,0.6522,1.1129,3.1726,0.17,5.0,0.6
0,0.78,9,0.7088,4,0.3828,1.1005,6.5737,0.22,0.0,0.2
6,0.7153,0,0.0,9,0.5706,0.0,0.0,0.36,15.0,0.9
6,0.7221,0,0.0,9,0.262,0.0,0.0,0.6,15.0,0.7
6,0.9741,0,0.0,9,0.7479,0.0,0.0,0.1,15.0,0.6
6,0.7173,0,0.0,9,0.4047,0.0,0.0,0.46,15.0,0.8
0,0.64,9,0.5453,4,0.3313,1.1737,6.8293,0.36,0.0,0.3
0,0.9,9,0.8978,2,0.7517,1.0025,3.7063,0.1,0.0,0.6
2,0.776,9,0.7025,6,0.6219,1.1046,3.444,0.28,5.0,0.8
6,0.9921,0,0.0,9,0.7558,0.0,0.0,0.28,15.0,0.3
6,0.8687,0,0.0,9,0.6609,0.0,0.0,0.22,15.0,0.8
1,0.9215,9,0.8538,6,0.6961,1.0793,2.8782,0.13,5.0,0.6
0,0.83,9,0.8269,2,0.7144,1.0037,4.2083,0.17,0.0,0.7
1,0.9211,9,0.6361,7,0.4493,1.448,3.357,0.22,5.0,0.3
