alpha = 0.1000
gamma = 0.0000
prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 458232981
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9510	0.0000	2.3026	0.9000	0.9999	0.4921
0.9523	1.0206	2.3024	0.8724	0.9999	0.5012
0.9510	2.0756	2.3021	0.8539	0.9999	0.5094
0.9613	3.1624	2.3019	0.8551	0.9999	0.5264
0.9694	4.2946	2.3017	0.8602	0.9999	0.5613
0.9717	5.4822	2.3014	0.8600	0.9999	0.5745
0.9774	6.7002	2.3010	0.8641	0.9999	0.6053
0.9805	7.9426	2.3007	0.8677	0.9999	0.6189
0.9845	9.2542	2.3005	0.8726	0.9999	0.6460
0.9897	10.6168	2.3003	0.8814	0.9999	0.6617
0.9897	12.0032	2.2998	0.8803	0.9999	0.6676
0.9931	13.4836	2.2996	0.8876	0.9999	0.6489
0.9945	15.0280	2.2991	0.8880	0.9999	0.7152
0.9957	16.6144	2.2989	0.8887	0.9999	0.7756
0.9960	18.2724	2.2984	0.8909	0.9999	0.7288
0.9976	19.9582	2.2980	0.8946	0.9999	0.7328
0.9982	21.7380	2.2978	0.8945	0.9999	0.8171
0.9984	23.6378	2.2973	0.8953	0.9999	0.8361
0.9984	25.5964	2.2968	0.8957	0.9999	0.8015
0.9989	27.6278	2.2964	0.8963	0.9999	0.8551
0.9992	29.7702	2.2959	0.8971	0.9999	0.8430
0.9995	32.0288	2.2952	0.8979	0.9999	0.8973
0.9997	34.4036	2.2948	0.8979	0.9999	0.9179
0.9997	36.9048	2.2943	0.8981	0.9999	0.9549
0.9998	39.5820	2.2936	0.8986	0.9999	0.9463
0.9997	42.5028	2.2929	0.8984	0.9999	0.9246
0.9999	45.5670	2.2922	0.8988	0.9999	0.9900
0.9999	48.8654	2.2916	0.8985	0.9999	0.9838
0.9999	52.4662	2.2906	0.8987	0.9999	0.9900
0.9999	56.3654	2.2897	0.8985	0.9999	0.9833
0.9999	60.6788	2.2888	0.8983	0.9999	0.9875
0.9999	65.4880	2.2877	0.8985	0.9999	0.9959
0.9999	70.8070	2.2865	0.8982	0.9999	0.9919
0.9999	76.8452	2.2852	0.8982	0.9999	0.9929
0.9999	83.9972	2.2836	0.8980	0.9999	0.9953
0.9999	92.4206	2.2817	0.8979	0.9999	0.9984
0.9999	102.9534	2.2794	0.8976	0.9999	0.9948
0.9999	117.1984	2.2765	0.8972	0.9999	0.9968
0.9999	137.8716	2.2719	0.8968	0.9999	0.9992
0.9999	179.7642	2.2638	0.8958	0.9999	0.9954
