alpha = 0.4600
gamma = 10.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1834804164
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6546	0.0000	20.6730	0.8361	0.9999	0.4979
0.6423	1.0052	18.7910	0.8402	0.9999	0.4904
0.6489	2.0204	11.6833	0.8369	0.9999	0.5013
0.6467	3.0452	8.5461	0.8345	0.9999	0.5004
0.6370	4.0728	7.0405	0.8362	0.9999	0.4933
0.6416	5.1124	4.8267	0.8300	0.9999	0.5021
0.6374	6.1544	3.2197	0.8179	0.9999	0.4946
0.6406	7.2038	2.0564	0.7991	0.9999	0.4980
0.6330	8.2622	1.4161	0.7646	0.9999	0.4960
0.6247	9.3324	0.8153	0.6658	0.9999	0.4874
0.6229	10.4256	0.7765	0.4744	0.9999	0.4864
0.6264	11.5346	0.4530	0.3306	0.9999	0.4880
0.6314	12.6784	0.2908	0.2739	0.9999	0.4948
0.6371	13.8750	0.1959	0.2464	0.9999	0.4963
0.6299	15.1026	0.1152	0.2214	0.9999	0.4937
0.6388	16.3892	0.0797	0.2150	0.9999	0.4953
0.6465	17.7478	0.0571	0.2104	0.9999	0.5004
0.6398	19.1648	0.0289	0.2007	0.9999	0.4908
0.6475	20.6350	0.0232	0.2005	0.9999	0.4941
0.6605	22.1984	0.0190	0.1986	0.9999	0.5152
0.6639	23.8604	0.0142	0.2033	0.9999	0.5059
0.6709	25.5922	0.0106	0.2047	0.9999	0.5108
0.6758	27.4516	0.0079	0.2074	0.9999	0.5125
0.6786	29.4386	0.0056	0.2074	0.9999	0.5140
0.6805	31.5334	0.0057	0.2114	0.9999	0.5090
0.6877	33.8372	0.0030	0.2142	0.9999	0.5121
0.6923	36.2834	0.0041	0.2173	0.9999	0.5143
0.7055	38.9614	0.0064	0.2290	0.9999	0.5143
0.7192	41.9548	0.0133	0.2400	0.9999	0.5188
0.7266	45.2350	0.0275	0.2460	0.9999	0.5202
0.7317	48.8992	0.0322	0.2494	0.9999	0.5256
0.7435	52.9648	0.0941	0.2597	0.9999	0.5289
0.7497	57.4836	0.2448	0.2691	0.9999	0.5208
0.7712	62.8770	0.7700	0.2856	0.9999	0.5354
0.7861	69.2904	0.7704	0.3027	0.9999	0.5299
0.8137	77.4620	0.7701	0.3298	0.9999	0.5362
0.8307	87.7062	0.7693	0.3534	0.9999	0.5264
0.8650	102.1560	0.7683	0.3844	0.9999	0.5479
0.9020	124.7846	0.7668	0.4246	0.9999	0.5511
0.9433	171.5584	0.7638	0.4707	0.9999	0.5509
