alpha = 0.3600
gamma = 15.0000
prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 641400445
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8512	0.0000	1.0232	0.7454	0.9999	0.5105
0.8450	1.0138	1.0231	0.7453	0.9999	0.4909
0.8449	2.0448	1.0230	0.7468	0.9999	0.4994
0.8391	3.0982	1.0229	0.7496	0.9999	0.4918
0.8379	4.1662	1.0228	0.7507	0.9999	0.4974
0.8361	5.2480	1.0227	0.7509	0.9999	0.4973
0.8268	6.3654	1.0226	0.7569	0.9999	0.4952
0.8153	7.4896	1.0225	0.7615	0.9999	0.4885
0.8234	8.6322	1.0224	0.7560	0.9999	0.4942
0.8256	9.7950	1.0223	0.7518	0.9999	0.4971
0.8252	10.9796	1.0222	0.7484	0.9999	0.4988
0.8189	12.1896	1.0221	0.7382	0.9999	0.4950
0.8117	13.4326	1.0219	0.7126	0.9999	0.4826
0.8106	14.6944	1.0218	0.6582	0.9999	0.4819
0.8118	15.9866	1.0215	0.5786	0.9999	0.4902
0.8196	17.3330	1.0213	0.5142	0.9999	0.5032
0.8273	18.7338	1.0211	0.4870	0.9999	0.4956
0.8231	20.2008	1.0209	0.4627	0.9999	0.5082
0.8263	21.7318	1.0208	0.4586	0.9999	0.4932
0.8442	23.3888	1.0206	0.4673	0.9999	0.5042
0.8492	25.1376	1.0204	0.4673	0.9999	0.5082
0.8576	26.9914	1.0202	0.4715	0.9999	0.5169
0.8658	28.9736	1.0200	0.4813	0.9999	0.5105
0.8777	31.0408	1.0199	0.4895	0.9999	0.5214
0.8768	33.2954	1.0196	0.4872	0.9999	0.5278
0.8863	35.7400	1.0194	0.4998	0.9999	0.5188
0.9014	38.3636	1.0191	0.5155	0.9999	0.5286
0.9061	41.2986	1.0188	0.5175	0.9999	0.5430
0.9106	44.4372	1.0185	0.5241	0.9999	0.5340
0.9258	47.8522	1.0182	0.5428	0.9999	0.5419
0.9324	51.6790	1.0178	0.5509	0.9999	0.5422
0.9480	56.0506	1.0174	0.5673	0.9999	0.5769
0.9530	60.9800	1.0169	0.5752	0.9999	0.5611
0.9604	66.7512	1.0164	0.5872	0.9999	0.5387
0.9645	73.5616	1.0156	0.5911	0.9999	0.5512
0.9767	81.8142	1.0148	0.6049	0.9999	0.5848
0.9833	92.2146	1.0138	0.6144	0.9999	0.5673
0.9880	105.9346	1.0125	0.6198	0.9999	0.5992
0.9943	126.7170	1.0107	0.6280	0.9999	0.6278
0.9978	169.2186	1.0068	0.6310	0.9999	0.6694
