alpha = 0.2800
gamma = 10.0000
prob.endemic = 0.1000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 429373051
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5497	0.0000	425.5662	0.9616	0.9999	0.5014
0.5565	1.0020	217.3282	0.9567	0.9999	0.5056
0.5476	2.0052	151.8147	0.9577	0.9999	0.4992
0.5446	3.0106	91.7411	0.9545	0.9999	0.4927
0.5481	4.0170	38.7699	0.9539	0.9999	0.5009
0.5453	5.0276	25.2948	0.9498	0.9999	0.4972
0.5440	6.0406	12.8899	0.9455	0.9999	0.4983
0.5401	7.0520	7.7097	0.9382	0.9999	0.4961
0.5481	8.0690	3.9082	0.9176	0.9999	0.5005
0.5451	9.0916	2.1255	0.8688	0.9999	0.4972
0.5418	10.1196	1.2730	0.6905	0.9999	0.4933
0.5400	11.1612	0.6542	0.4384	0.9999	0.4931
0.5401	12.2368	0.3355	0.3202	0.9999	0.4962
0.5443	13.3398	0.1795	0.2621	0.9999	0.4959
0.5456	14.4820	0.0920	0.2194	0.9999	0.5021
0.5563	15.6708	0.0523	0.2033	0.9999	0.5075
0.5551	16.8978	0.0282	0.1807	0.9999	0.5074
0.5616	18.1962	0.0150	0.1755	0.9999	0.5108
0.5655	19.5664	0.0070	0.1645	0.9999	0.5092
0.5654	21.0094	0.0040	0.1545	0.9999	0.5128
0.5809	22.5134	0.0027	0.1606	0.9999	0.5230
0.5760	24.1386	0.0010	0.1460	0.9999	0.5202
0.5850	25.8344	0.0006	0.1538	0.9999	0.5237
0.5836	27.6446	0.0002	0.1445	0.9999	0.5252
0.5952	29.6114	0.0001	0.1540	0.9999	0.5290
0.5972	31.7484	0.0001	0.1562	0.9999	0.5287
0.6047	34.0504	0.0000	0.1604	0.9999	0.5323
0.6164	36.6170	0.0000	0.1669	0.9999	0.5365
0.6141	39.4060	0.0000	0.1656	0.9999	0.5349
0.6288	42.5284	0.0000	0.1740	0.9999	0.5448
0.6463	46.0736	0.0000	0.1949	0.9999	0.5484
0.6504	50.2246	0.0000	0.2075	0.9999	0.5405
0.6782	55.0958	0.0000	0.2310	0.9999	0.5591
0.6881	60.8360	0.0000	0.2491	0.9999	0.5552
0.7163	67.8422	0.0009	0.2849	0.9999	0.5646
0.7395	76.8908	0.0254	0.3210	0.9999	0.5642
0.7822	89.3804	0.7497	0.3732	0.9999	0.5850
0.8350	108.0082	1.2553	0.4523	0.9999	0.5945
0.8938	139.6486	1.2530	0.5427	0.9999	0.6123
0.9548	209.9568	1.2464	0.6335	0.9999	0.6623
