alpha = 0.7700
gamma = 15.0000
prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1004036405
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8510	0.0000	0.2618	0.4423	0.9999	0.5050
0.8448	1.0172	0.2617	0.4483	0.9999	0.5071
0.8473	2.0578	0.2617	0.4477	0.9999	0.5105
0.8417	3.1150	0.2617	0.4495	0.9999	0.5053
0.8384	4.1952	0.2617	0.4494	0.9999	0.4921
0.8327	5.3014	0.2616	0.4545	0.9999	0.4957
0.8272	6.4222	0.2616	0.4547	0.9999	0.4783
0.8266	7.5636	0.2616	0.4547	0.9999	0.4997
0.8202	8.7312	0.2615	0.4566	0.9999	0.4878
0.8258	9.9262	0.2615	0.4389	0.9999	0.4930
0.8117	11.1482	0.2615	0.4339	0.9999	0.4892
0.8104	12.3980	0.2615	0.3989	0.9999	0.4777
0.8119	13.6892	0.2614	0.3393	0.9999	0.4793
0.8086	15.0110	0.2614	0.2682	0.9999	0.4844
0.8037	16.3820	0.2613	0.2085	0.9999	0.4807
0.8112	17.8126	0.2613	0.1762	0.9999	0.4748
0.8083	19.2832	0.2612	0.1627	0.9999	0.4870
0.8028	20.8302	0.2612	0.1569	0.9999	0.4692
0.8045	22.4478	0.2611	0.1545	0.9999	0.4706
0.8086	24.1246	0.2611	0.1533	0.9999	0.4797
0.8161	25.9132	0.2610	0.1555	0.9999	0.4780
0.8170	27.8050	0.2610	0.1534	0.9999	0.4864
0.8187	29.7692	0.2609	0.1548	0.9999	0.4802
0.8205	31.8802	0.2609	0.1542	0.9999	0.4810
0.8232	34.0940	0.2608	0.1565	0.9999	0.4675
0.8268	36.4356	0.2607	0.1554	0.9999	0.4864
0.8289	39.0332	0.2607	0.1544	0.9999	0.4977
0.8248	41.7946	0.2606	0.1560	0.9999	0.4744
0.8325	44.7422	0.2605	0.1568	0.9999	0.4869
0.8324	47.9544	0.2604	0.1585	0.9999	0.4726
0.8353	51.5676	0.2603	0.1594	0.9999	0.4727
0.8450	55.5596	0.2602	0.1613	0.9999	0.4896
0.8414	59.9868	0.2601	0.1607	0.9999	0.4801
0.8500	65.0500	0.2599	0.1632	0.9999	0.4889
0.8566	71.1564	0.2598	0.1662	0.9999	0.4877
0.8594	78.4534	0.2596	0.1670	0.9999	0.4859
0.8672	87.5470	0.2593	0.1696	0.9999	0.4919
0.8791	99.6198	0.2590	0.1751	0.9999	0.4904
0.8883	118.2488	0.2585	0.1796	0.9999	0.4779
0.9061	155.1590	0.2576	0.1859	0.9999	0.4881
