alpha = 0.4600
gamma = 0.0000
prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 2108686290
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8441	0.0000	0.7765	0.5400	0.9999	0.4857
0.8569	1.0232	0.7765	0.4725	0.9999	0.5079
0.8455	2.0732	0.7764	0.4365	0.9999	0.5011
0.8497	3.1538	0.7763	0.4237	0.9999	0.5004
0.8670	4.2588	0.7762	0.4264	0.9999	0.5246
0.8618	5.4122	0.7761	0.4175	0.9999	0.5145
0.8599	6.5864	0.7760	0.4119	0.9999	0.5068
0.8766	7.8028	0.7759	0.4221	0.9999	0.5214
0.8712	9.0586	0.7758	0.4156	0.9999	0.5131
0.8715	10.3612	0.7757	0.4140	0.9999	0.5127
0.8741	11.7130	0.7756	0.4151	0.9999	0.5126
0.8788	13.1338	0.7754	0.4162	0.9999	0.5258
0.8794	14.5984	0.7754	0.4167	0.9999	0.5189
0.8806	16.1046	0.7752	0.4204	0.9999	0.5006
0.8863	17.6954	0.7751	0.4219	0.9999	0.5194
0.8872	19.3328	0.7750	0.4241	0.9999	0.5072
0.8956	21.0658	0.7748	0.4296	0.9999	0.5280
0.9037	22.8958	0.7747	0.4352	0.9999	0.5431
0.8979	24.7790	0.7745	0.4309	0.9999	0.5246
0.9079	26.7832	0.7744	0.4404	0.9999	0.5326
0.9136	28.9530	0.7742	0.4474	0.9999	0.5204
0.9096	31.1844	0.7740	0.4431	0.9999	0.5201
0.9189	33.5310	0.7739	0.4513	0.9999	0.5278
0.9214	36.0376	0.7737	0.4532	0.9999	0.5318
0.9284	38.6686	0.7735	0.4614	0.9999	0.5260
0.9301	41.5754	0.7733	0.4631	0.9999	0.5278
0.9334	44.6874	0.7730	0.4623	0.9999	0.5546
0.9388	48.0764	0.7727	0.4716	0.9999	0.5324
0.9427	51.6444	0.7725	0.4757	0.9999	0.5288
0.9493	55.6528	0.7722	0.4796	0.9999	0.5560
0.9495	60.0574	0.7718	0.4815	0.9999	0.5430
0.9566	64.9522	0.7715	0.4909	0.9999	0.5288
0.9556	70.3780	0.7710	0.4900	0.9999	0.5240
0.9651	76.7818	0.7706	0.4965	0.9999	0.5686
0.9701	84.2356	0.7700	0.5040	0.9999	0.5368
0.9756	93.4154	0.7693	0.5085	0.9999	0.5641
0.9804	104.7784	0.7685	0.5134	0.9999	0.5681
0.9865	120.5104	0.7673	0.5192	0.9999	0.5957
0.9896	143.3966	0.7657	0.5231	0.9999	0.5571
0.9956	188.7880	0.7626	0.5280	0.9999	0.6111
