alpha = 0.2200
gamma = 20.0000
prob.endemic = 0.2000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 617013902
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5965	0.0000	23182.5017	0.9527	0.9999	0.4977
0.6008	1.0054	10998.2692	0.9525	0.9999	0.5033
0.5928	2.0122	8914.5632	0.9537	0.9999	0.4961
0.5967	3.0250	5468.4662	0.9535	0.9999	0.5007
0.5841	4.0394	5394.6428	0.9551	0.9999	0.4907
0.5909	5.0596	2324.9142	0.9534	0.9999	0.4944
0.5902	6.0790	1368.5294	0.9547	0.9999	0.4986
0.5855	7.1060	1097.7862	0.9549	0.9999	0.4940
0.5869	8.1366	628.5397	0.9563	0.9999	0.5008
0.5923	9.1720	277.1448	0.9551	0.9999	0.5056
0.5878	10.2088	189.4949	0.9545	0.9999	0.5028
0.5874	11.2492	125.4907	0.9538	0.9999	0.5015
0.5852	12.2976	78.8427	0.9542	0.9999	0.5029
0.5821	13.3466	44.4792	0.9520	0.9999	0.4953
0.5835	14.4020	25.1527	0.9505	0.9999	0.5007
0.5713	15.4604	17.2342	0.9488	0.9999	0.4896
0.5765	16.5254	8.8184	0.9439	0.9999	0.4993
0.5727	17.5920	4.8867	0.9291	0.9999	0.4912
0.5760	18.6620	2.6983	0.8940	0.9999	0.4955
0.5728	19.7410	1.5141	0.7931	0.9999	0.4949
0.5685	20.8408	1.5138	0.6044	0.9999	0.4921
0.5657	21.9816	0.5991	0.4248	0.9999	0.4881
0.5909	23.1830	0.3639	0.3558	0.9999	0.5084
0.5905	24.4562	0.1807	0.3013	0.9999	0.5046
0.6006	25.8492	0.1131	0.2782	0.9999	0.5105
0.6179	27.3540	0.0791	0.2704	0.9999	0.5265
0.6249	28.9840	0.0494	0.2592	0.9999	0.5298
0.6319	30.8266	0.0329	0.2541	0.9999	0.5312
0.6508	32.8376	0.0272	0.2695	0.9999	0.5386
0.6675	35.1118	0.0233	0.2761	0.9999	0.5486
0.6895	37.7980	0.0382	0.2992	0.9999	0.5542
0.7051	40.8108	0.0324	0.3098	0.9999	0.5657
0.7323	44.4666	0.1209	0.3496	0.9999	0.5694
0.7614	49.0478	0.4018	0.3853	0.9999	0.5802
0.8056	55.0000	1.5048	0.4457	0.9999	0.5962
0.8447	62.9756	1.5051	0.5064	0.9999	0.6163
0.8872	73.8338	1.5042	0.5746	0.9999	0.6288
0.9308	89.4450	1.5025	0.6487	0.9999	0.6597
0.9642	115.6608	1.4992	0.7057	0.9999	0.6934
0.9902	169.2932	1.4926	0.7550	0.9999	0.7585
