alpha = 0.6000
gamma = 0.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 2056650140
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6427	0.0000	0.5108	0.4000	0.9999	0.4957
0.6497	1.0206	0.3666	0.2705	0.9999	0.4980
0.6485	2.0660	0.2539	0.2209	0.9999	0.4964
0.6569	3.1328	0.1848	0.1979	0.9999	0.5131
0.6562	4.2318	0.1296	0.1826	0.9999	0.5022
0.6626	5.3658	0.1006	0.1764	0.9999	0.5050
0.6611	6.5246	0.0729	0.1681	0.9999	0.5060
0.6557	7.7124	0.0454	0.1611	0.9999	0.4994
0.6679	8.9596	0.0369	0.1599	0.9999	0.5150
0.6638	10.2340	0.0253	0.1580	0.9999	0.5031
0.6660	11.5746	0.0208	0.1569	0.9999	0.5052
0.6602	12.9476	0.0118	0.1501	0.9999	0.5035
0.6702	14.3702	0.0091	0.1545	0.9999	0.5084
0.6693	15.8298	0.0062	0.1497	0.9999	0.5107
0.6790	17.3428	0.0060	0.1502	0.9999	0.5209
0.6804	18.9324	0.0047	0.1554	0.9999	0.5092
0.6756	20.6026	0.0027	0.1539	0.9999	0.5030
0.6860	22.3794	0.0040	0.1547	0.9999	0.5194
0.6886	24.2542	0.0022	0.1564	0.9999	0.5188
0.6905	26.1778	0.0022	0.1590	0.9999	0.5121
0.6923	28.1766	0.0011	0.1573	0.9999	0.5147
0.6951	30.3228	0.0017	0.1599	0.9999	0.5132
0.7016	32.5622	0.0014	0.1641	0.9999	0.5143
0.6986	34.9510	0.0010	0.1634	0.9999	0.5106
0.6967	37.4916	0.0004	0.1591	0.9999	0.5144
0.7042	40.2214	0.0006	0.1666	0.9999	0.5094
0.7126	43.1518	0.0012	0.1701	0.9999	0.5165
0.7171	46.3120	0.0015	0.1731	0.9999	0.5191
0.7199	49.7970	0.0020	0.1750	0.9999	0.5177
0.7285	53.6266	0.0053	0.1812	0.9999	0.5173
0.7363	57.8862	0.0162	0.1873	0.9999	0.5187
0.7372	62.5240	0.0282	0.1909	0.9999	0.5099
0.7467	67.9034	0.0509	0.1929	0.9999	0.5222
0.7608	74.1942	0.5050	0.2051	0.9999	0.5172
0.7666	81.4012	0.5050	0.2100	0.9999	0.5187
0.7878	90.0868	0.5050	0.2253	0.9999	0.5216
0.8011	101.6240	0.5043	0.2341	0.9999	0.5286
0.8178	116.7602	0.5037	0.2485	0.9999	0.5233
0.8393	140.1948	0.5026	0.2685	0.9999	0.5126
0.8964	189.3434	0.5004	0.3069	0.9999	0.5470
