alpha = 0.2200
gamma = 20.0000
prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1797757184
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9515	0.0000	1.5172	0.8024	0.9999	0.5255
0.9490	1.0246	1.5170	0.8018	0.9999	0.4842
0.9471	2.0738	1.5169	0.8033	0.9999	0.5013
0.9427	3.1396	1.5167	0.8043	0.9999	0.4841
0.9485	4.2326	1.5166	0.8026	0.9999	0.5072
0.9416	5.3530	1.5164	0.8049	0.9999	0.4908
0.9454	6.5036	1.5162	0.8034	0.9999	0.4956
0.9407	7.6730	1.5161	0.8061	0.9999	0.5122
0.9425	8.8806	1.5159	0.8043	0.9999	0.4921
0.9375	10.1150	1.5156	0.8060	0.9999	0.4870
0.9336	11.4000	1.5155	0.8076	0.9999	0.4925
0.9371	12.7142	1.5153	0.8062	0.9999	0.5022
0.9337	14.0562	1.5150	0.8071	0.9999	0.5047
0.9297	15.4386	1.5149	0.8059	0.9999	0.4930
0.9248	16.8788	1.5147	0.8035	0.9999	0.5103
0.9273	18.3366	1.5144	0.7926	0.9999	0.4903
0.9288	19.8854	1.5141	0.7726	0.9999	0.4956
0.9248	21.4854	1.5140	0.7471	0.9999	0.4899
0.9326	23.1434	1.5137	0.7253	0.9999	0.5026
0.9374	24.8734	1.5134	0.7138	0.9999	0.5010
0.9396	26.7346	1.5131	0.7059	0.9999	0.5246
0.9544	28.7220	1.5128	0.7174	0.9999	0.5449
0.9581	30.7904	1.5125	0.7194	0.9999	0.5509
0.9665	33.0380	1.5122	0.7288	0.9999	0.5644
0.9715	35.4824	1.5119	0.7360	0.9999	0.5627
0.9772	38.0492	1.5114	0.7436	0.9999	0.5814
0.9773	40.8992	1.5110	0.7437	0.9999	0.5628
0.9856	43.9534	1.5105	0.7534	0.9999	0.6405
0.9847	47.2826	1.5100	0.7546	0.9999	0.5781
0.9893	50.8656	1.5096	0.7615	0.9999	0.5862
0.9926	54.8714	1.5090	0.7656	0.9999	0.6447
0.9946	59.2540	1.5084	0.7692	0.9999	0.6382
0.9959	64.1812	1.5076	0.7709	0.9999	0.6584
0.9975	69.9320	1.5067	0.7743	0.9999	0.6425
0.9981	76.6204	1.5057	0.7741	0.9999	0.6973
0.9993	84.6712	1.5046	0.7761	0.9999	0.8154
0.9994	94.7434	1.5031	0.7765	0.9999	0.7989
0.9994	108.0134	1.5012	0.7761	0.9999	0.6591
0.9997	127.8028	1.4986	0.7759	0.9999	0.8170
0.9999	167.4468	1.4934	0.7751	0.9999	0.9995
