alpha = 0.1300
gamma = 10.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 174546968
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6444	0.0000	68.9597	0.9589	0.9999	0.4971
0.6516	1.0040	38.1897	0.9576	0.9999	0.5025
0.6433	2.0116	32.5181	0.9590	0.9999	0.5005
0.6546	3.0230	18.2983	0.9568	0.9999	0.5083
0.6423	4.0408	17.3469	0.9579	0.9999	0.5000
0.6432	5.0620	11.1679	0.9554	0.9999	0.4952
0.6432	6.0876	8.2790	0.9556	0.9999	0.5039
0.6405	7.1154	5.5657	0.9520	0.9999	0.4973
0.6328	8.1478	3.9850	0.9481	0.9999	0.4942
0.6396	9.1854	2.4111	0.9228	0.9999	0.4955
0.6286	10.2328	2.0402	0.8244	0.9999	0.4892
0.6387	11.3046	1.3017	0.6238	0.9999	0.5011
0.6465	12.4160	0.9302	0.5177	0.9999	0.5010
0.6625	13.5884	0.6815	0.4698	0.9999	0.5210
0.6745	14.8374	0.5614	0.4432	0.9999	0.5261
0.6829	16.1644	0.4871	0.4286	0.9999	0.5254
0.7082	17.6042	0.5113	0.4351	0.9999	0.5479
0.7229	19.1680	0.5393	0.4379	0.9999	0.5553
0.7422	20.9158	0.5991	0.4471	0.9999	0.5716
0.7552	22.8250	0.8174	0.4618	0.9999	0.5681
0.7857	24.8872	1.6515	0.5006	0.9999	0.5861
0.7942	27.2654	2.0331	0.5068	0.9999	0.5881
0.8286	29.9010	2.0347	0.5522	0.9999	0.6122
0.8475	32.9384	2.0343	0.5811	0.9999	0.6182
0.8678	36.3040	2.0337	0.6142	0.9999	0.6315
0.8995	40.1144	2.0333	0.6671	0.9999	0.6526
0.9184	44.4286	2.0325	0.7028	0.9999	0.6568
0.9362	49.2850	2.0317	0.7314	0.9999	0.6846
0.9525	54.8512	2.0307	0.7672	0.9999	0.6907
0.9654	61.0786	2.0294	0.7917	0.9999	0.7064
0.9766	68.0828	2.0282	0.8131	0.9999	0.7576
0.9866	76.0484	2.0268	0.8309	0.9999	0.7955
0.9906	85.2518	2.0250	0.8442	0.9999	0.8021
0.9951	95.6726	2.0230	0.8529	0.9999	0.8557
0.9980	107.8744	2.0207	0.8586	0.9999	0.9194
0.9984	122.9674	2.0177	0.8613	0.9999	0.9085
0.9993	141.4272	2.0143	0.8636	0.9999	0.9485
0.9998	166.3108	2.0094	0.8642	0.9999	0.9856
0.9999	202.0080	2.0026	0.8640	0.9999	0.9964
0.9999	274.1930	1.9900	0.8626	0.9999	0.9983
