alpha = 0.1300
gamma = 5.0000
prob.endemic = 0.5000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1115598554
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7519	0.0000	2.0412	0.9307	0.9999	0.5035
0.7415	1.0074	2.3299	0.9319	0.9999	0.4981
0.7458	2.0238	2.1125	0.9287	0.9999	0.4979
0.7466	3.0496	2.0838	0.9254	0.9999	0.4994
0.7333	4.0808	2.0404	0.9154	0.9999	0.4871
0.7407	5.1244	2.0402	0.8516	0.9999	0.4990
0.7368	6.1890	1.9447	0.6973	0.9999	0.4957
0.7488	7.2892	2.0078	0.6252	0.9999	0.5021
0.7665	8.4532	2.0392	0.5973	0.9999	0.5196
0.7881	9.7046	2.0390	0.5955	0.9999	0.5384
0.7991	11.0192	2.0386	0.5845	0.9999	0.5434
0.8170	12.4296	2.0384	0.5929	0.9999	0.5672
0.8267	13.9580	2.0382	0.5999	0.9999	0.5579
0.8436	15.5826	2.0378	0.6199	0.9999	0.5667
0.8641	17.3300	2.0374	0.6424	0.9999	0.5827
0.8740	19.2202	2.0370	0.6561	0.9999	0.5822
0.9011	21.2530	2.0368	0.6904	0.9999	0.6136
0.9146	23.4412	2.0363	0.7127	0.9999	0.6194
0.9235	25.7880	2.0357	0.7232	0.9999	0.6328
0.9444	28.3170	2.0353	0.7566	0.9999	0.6646
0.9515	31.0642	2.0347	0.7697	0.9999	0.6734
0.9586	34.0102	2.0341	0.7860	0.9999	0.6722
0.9703	37.2268	2.0335	0.8077	0.9999	0.6800
0.9781	40.6434	2.0329	0.8177	0.9999	0.7436
0.9814	44.4084	2.0321	0.8272	0.9999	0.7227
0.9853	48.4762	2.0315	0.8369	0.9999	0.7137
0.9903	52.7678	2.0305	0.8448	0.9999	0.7679
0.9943	57.4346	2.0296	0.8506	0.9999	0.8395
0.9961	62.5156	2.0286	0.8560	0.9999	0.8504
0.9967	67.7764	2.0276	0.8591	0.9999	0.8408
0.9976	73.7974	2.0264	0.8618	0.9999	0.8523
0.9987	80.6874	2.0250	0.8629	0.9999	0.9116
0.9990	88.3428	2.0236	0.8650	0.9999	0.8933
0.9997	97.0154	2.0217	0.8662	0.9999	0.9654
0.9993	107.1790	2.0197	0.8657	0.9999	0.9083
0.9997	119.5972	2.0173	0.8659	0.9999	0.9632
0.9999	134.9650	2.0143	0.8661	0.9999	0.9964
0.9999	155.1234	2.0104	0.8655	0.9999	0.9965
0.9999	185.3798	2.0050	0.8650	0.9999	0.9984
0.9999	245.9552	1.9942	0.8634	0.9999	0.9980
