alpha = 0.1300
gamma = 0.0000
prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1685038016
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8531	0.0000	2.0402	0.8700	0.9999	0.5054
0.8537	1.0176	2.0400	0.7823	0.9999	0.5005
0.8568	2.0700	2.0398	0.7360	0.9999	0.5165
0.8673	3.1688	2.0396	0.7186	0.9999	0.5185
0.8764	4.3076	2.0394	0.7114	0.9999	0.5245
0.8896	5.5062	2.0390	0.7175	0.9999	0.5398
0.8990	6.7642	2.0388	0.7206	0.9999	0.5590
0.9130	8.0772	2.0386	0.7366	0.9999	0.5664
0.9229	9.4624	2.0382	0.7478	0.9999	0.5817
0.9333	10.9358	2.0380	0.7556	0.9999	0.6038
0.9443	12.4668	2.0376	0.7706	0.9999	0.6151
0.9507	14.0840	2.0374	0.7814	0.9999	0.6109
0.9594	15.7760	2.0370	0.7953	0.9999	0.6267
0.9663	17.5652	2.0366	0.8049	0.9999	0.6517
0.9665	19.4358	2.0361	0.8056	0.9999	0.6381
0.9775	21.3604	2.0359	0.8215	0.9999	0.6871
0.9811	23.4564	2.0353	0.8309	0.9999	0.6854
0.9823	25.6118	2.0349	0.8309	0.9999	0.6970
0.9894	27.9122	2.0345	0.8447	0.9999	0.7363
0.9886	30.3354	2.0341	0.8451	0.9999	0.7137
0.9922	32.8520	2.0335	0.8510	0.9999	0.7444
0.9952	35.4986	2.0331	0.8568	0.9999	0.7859
0.9951	38.3566	2.0325	0.8574	0.9999	0.7585
0.9971	41.3592	2.0319	0.8604	0.9999	0.8381
0.9967	44.5734	2.0313	0.8610	0.9999	0.7763
0.9983	47.9914	2.0307	0.8639	0.9999	0.8345
0.9986	51.7018	2.0298	0.8632	0.9999	0.8979
0.9991	55.6938	2.0290	0.8649	0.9999	0.9056
0.9996	60.0176	2.0282	0.8667	0.9999	0.9379
0.9996	64.7016	2.0272	0.8671	0.9999	0.9515
0.9999	70.0014	2.0262	0.8676	0.9999	0.9930
0.9997	75.6368	2.0252	0.8667	0.9999	0.9487
0.9999	82.0902	2.0238	0.8675	0.9999	0.9924
0.9999	89.5264	2.0223	0.8669	0.9999	0.9914
0.9999	98.2344	2.0205	0.8673	0.9999	0.9963
0.9999	108.5426	2.0185	0.8670	0.9999	0.9969
0.9999	121.4270	2.0161	0.8667	0.9999	0.9955
0.9999	138.7056	2.0127	0.8662	0.9999	0.9971
0.9999	163.6932	2.0080	0.8656	0.9999	0.9988
0.9999	213.6962	1.9990	0.8642	0.9999	0.9992
