alpha = 0.7700
gamma = 10.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1610576151
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6475	0.0000	7.7197	0.7047	0.9999	0.4988
0.6541	1.0100	4.5953	0.6910	0.9999	0.5017
0.6471	2.0286	4.2457	0.6959	0.9999	0.5023
0.6346	3.0552	3.6430	0.6986	0.9999	0.4961
0.6319	4.0942	2.6646	0.6890	0.9999	0.4908
0.6357	5.1504	1.5935	0.6629	0.9999	0.4935
0.6344	6.2144	1.0536	0.6306	0.9999	0.4908
0.6187	7.2916	0.8154	0.5991	0.9999	0.4790
0.6180	8.3856	0.4702	0.5068	0.9999	0.4815
0.6177	9.4906	0.2614	0.3504	0.9999	0.4760
0.6108	10.6182	0.2614	0.1887	0.9999	0.4754
0.6160	11.7938	0.1367	0.1268	0.9999	0.4787
0.6176	13.0036	0.0833	0.1054	0.9999	0.4771
0.6186	14.2618	0.0473	0.0934	0.9999	0.4788
0.6205	15.5626	0.0293	0.0869	0.9999	0.4840
0.6171	16.9166	0.0142	0.0807	0.9999	0.4850
0.6210	18.3224	0.0095	0.0786	0.9999	0.4833
0.6317	19.7840	0.0064	0.0790	0.9999	0.4878
0.6267	21.3442	0.0035	0.0762	0.9999	0.4860
0.6262	22.9776	0.0015	0.0754	0.9999	0.4833
0.6349	24.6566	0.0013	0.0765	0.9999	0.4901
0.6367	26.4468	0.0006	0.0755	0.9999	0.4911
0.6327	28.3336	0.0003	0.0759	0.9999	0.4803
0.6395	30.3116	0.0002	0.0770	0.9999	0.4828
0.6430	32.4442	0.0001	0.0727	0.9999	0.5009
0.6310	34.7602	0.0000	0.0722	0.9999	0.4840
0.6411	37.1984	0.0000	0.0738	0.9999	0.4893
0.6468	39.7882	0.0000	0.0749	0.9999	0.4929
0.6479	42.6368	0.0000	0.0746	0.9999	0.4939
0.6496	45.7154	0.0000	0.0775	0.9999	0.4872
0.6567	49.2262	0.0000	0.0788	0.9999	0.4923
0.6549	52.9902	0.0000	0.0766	0.9999	0.4938
0.6570	57.2784	0.0000	0.0801	0.9999	0.4846
0.6561	62.1584	0.0000	0.0798	0.9999	0.4837
0.6630	67.9026	0.0000	0.0793	0.9999	0.4949
0.6735	74.6658	0.0000	0.0862	0.9999	0.4856
0.6779	83.1956	0.0000	0.0855	0.9999	0.4946
0.6834	94.7656	0.0000	0.0891	0.9999	0.4904
0.7071	112.1520	0.0000	0.0987	0.9999	0.4911
0.7344	148.2252	0.0124	0.1119	0.9999	0.4827
