alpha = 0.2200
gamma = 10.0000
prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 2138809847
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8980	0.0000	1.5156	0.8224	0.9999	0.4930
0.8968	1.0190	1.5155	0.8220	0.9999	0.4825
0.8931	2.0578	1.5153	0.8253	0.9999	0.5019
0.8885	3.1152	1.5152	0.8262	0.9999	0.4967
0.8907	4.1882	1.5150	0.8236	0.9999	0.4848
0.8909	5.2854	1.5149	0.8225	0.9999	0.4854
0.8888	6.4048	1.5147	0.8225	0.9999	0.4897
0.8884	7.5368	1.5146	0.8196	0.9999	0.4959
0.8831	8.7038	1.5144	0.8094	0.9999	0.4937
0.8779	9.9104	1.5141	0.7736	0.9999	0.4754
0.8872	11.1334	1.5140	0.7262	0.9999	0.5050
0.8901	12.3958	1.5137	0.6830	0.9999	0.5163
0.8910	13.7194	1.5135	0.6621	0.9999	0.5138
0.8979	15.0890	1.5134	0.6576	0.9999	0.5126
0.9136	16.5412	1.5131	0.6683	0.9999	0.5275
0.9147	18.0698	1.5129	0.6641	0.9999	0.5315
0.9283	19.6800	1.5126	0.6787	0.9999	0.5431
0.9294	21.3690	1.5123	0.6779	0.9999	0.5380
0.9418	23.1666	1.5122	0.6928	0.9999	0.5507
0.9519	25.0618	1.5119	0.7067	0.9999	0.5619
0.9609	27.1186	1.5116	0.7160	0.9999	0.5876
0.9621	29.2664	1.5113	0.7176	0.9999	0.5915
0.9658	31.5594	1.5108	0.7218	0.9999	0.6048
0.9726	33.9966	1.5105	0.7325	0.9999	0.6160
0.9751	36.6548	1.5100	0.7349	0.9999	0.6213
0.9781	39.4208	1.5097	0.7430	0.9999	0.6043
0.9829	42.4760	1.5093	0.7500	0.9999	0.6172
0.9881	45.7484	1.5087	0.7568	0.9999	0.6559
0.9895	49.2838	1.5082	0.7595	0.9999	0.6763
0.9906	53.2220	1.5076	0.7610	0.9999	0.6557
0.9942	57.5376	1.5070	0.7662	0.9999	0.7202
0.9951	62.3822	1.5063	0.7698	0.9999	0.6648
0.9965	67.7994	1.5055	0.7719	0.9999	0.6249
0.9978	74.0968	1.5046	0.7728	0.9999	0.7571
0.9991	81.1414	1.5036	0.7754	0.9999	0.8488
0.9990	89.9026	1.5024	0.7756	0.9999	0.7436
0.9996	100.9928	1.5007	0.7760	0.9999	0.9256
0.9999	115.4560	1.4986	0.7761	0.9999	0.9696
0.9998	137.0758	1.4956	0.7754	0.9999	0.7599
0.9999	179.9266	1.4899	0.7743	0.9999	0.0000
