parameters	max_left_position	max_left_value	max_right_position	max_right_value	min_position	min_value	ratio_of_peaks	euclidean_distance	a	g	pEndemic
0.22_5.00_0.00	0	0.98195	39	0.115	32	0.04765	8.5387	32.4103	0.22	5.0	0.0
0.22_10.00_0.00	0	0.9911	39	0.1234	35	0.0522	8.0316	27.4186	0.22	10.0	0.0
0.22_15.00_0.00	0	0.99345	39	0.11825	35	0.0622	8.4013	22.5181	0.22	15.0	0.0
0.22_20.00_0.00	0	0.9953	39	0.12435	36	0.07245	8.004	17.6018	0.22	20.0	0.0
0.22_0.00_0.10	0	0.78	39	0.75425	14	0.17455	1.0341	31.7223	0.22	0.0	0.1
0.22_5.00_0.10	0	0.96205	39	0.7504	18	0.1778	1.282	28.3367	0.22	5.0	0.1
0.22_10.00_0.10	0	0.9703	39	0.74175	20	0.17605	1.3081	24.3797	0.22	10.0	0.1
0.22_15.00_0.10	1	0.9726	39	0.72675	25	0.18035	1.3383	20.4506	0.22	15.0	0.1
0.22_20.00_0.10	6	0.97495	39	0.6829	29	0.1818	1.4277	16.4942	0.22	20.0	0.1
0.22_0.00_0.20	0	0.78	39	0.7667	10	0.26825	1.0173	26.9256	0.22	0.0	0.2
0.22_5.00_0.20	0	0.94075	39	0.76625	15	0.26245	1.2277	24.1843	0.22	5.0	0.2
0.22_10.00_0.20	0	0.9483	39	0.7664	19	0.2676	1.2373	21.0878	0.22	10.0	0.2
0.22_15.00_0.20	5	0.95225	39	0.76195	22	0.2626	1.2498	18.0746	0.22	15.0	0.2
0.22_20.00_0.20	8	0.9559	39	0.7524	26	0.25705	1.2705	15.0446	0.22	20.0	0.2
0.22_0.00_0.30	0	0.78	39	0.7692	8	0.3512	1.014	23.0695	0.22	0.0	0.3
0.22_5.00_0.30	0	0.92075	39	0.77015	13	0.35345	1.1955	21.1221	0.22	5.0	0.3
0.22_10.00_0.30	3	0.9277	39	0.77045	17	0.3431	1.2041	18.6091	0.22	10.0	0.3
0.22_15.00_0.30	7	0.93285	39	0.77025	22	0.33855	1.2111	16.1398	0.22	15.0	0.3
0.22_20.00_0.30	12	0.9362	39	0.7664	25	0.32885	1.2216	13.8499	0.22	20.0	0.3
0.22_0.00_0.40	0	0.78	37	0.77155	5	0.4304	1.011	20.546	0.22	0.0	0.4
0.22_5.00_0.40	0	0.901	38	0.77155	12	0.42235	1.1678	18.7661	0.22	5.0	0.4
0.22_10.00_0.40	4	0.9069	39	0.772	17	0.41315	1.1747	16.8457	0.22	10.0	0.4
0.22_15.00_0.40	4	0.91245	39	0.77245	20	0.4042	1.1812	14.7521	0.22	15.0	0.4
0.22_20.00_0.40	10	0.91775	39	0.7719	24	0.38705	1.1889	12.6469	0.22	20.0	0.4
0.22_0.00_0.50	0	0.78	38	0.77325	6	0.50035	1.0087	18.4447	0.22	0.0	0.5
0.22_5.00_0.50	0	0.88	37	0.77355	11	0.48885	1.1376	16.9965	0.22	5.0	0.5
0.22_10.00_0.50	4	0.88645	38	0.77335	15	0.4794	1.1462	15.0858	0.22	10.0	0.5
0.22_15.00_0.50	8	0.8919	39	0.7733	19	0.4692	1.1534	13.3821	0.22	15.0	0.5
0.22_20.00_0.50	9	0.89895	39	0.773	23	0.45305	1.1629	11.9158	0.22	20.0	0.5
0.22_0.00_0.60	0	0.78	36	0.77425	5	0.56355	1.0074	16.9316	0.22	0.0	0.6
0.22_5.00_0.60	0	0.86025	37	0.77415	9	0.55425	1.1112	15.2054	0.22	5.0	0.6
0.22_10.00_0.60	6	0.8655	38	0.7744	15	0.5429	1.1176	13.9716	0.22	10.0	0.6
0.22_15.00_0.60	8	0.87255	38	0.7742	18	0.5344	1.127	12.5128	0.22	15.0	0.6
0.22_20.00_0.60	9	0.8777	39	0.774	22	0.51445	1.134	10.9903	0.22	20.0	0.6
0.22_0.00_0.70	0	0.78	36	0.77515	5	0.6197	1.0063	15.3849	0.22	0.0	0.7
0.22_5.00_0.70	0	0.84045	37	0.77505	9	0.61365	1.0844	14.0946	0.22	5.0	0.7
0.22_10.00_0.70	6	0.84565	38	0.77525	15	0.60025	1.0908	12.7297	0.22	10.0	0.7
0.22_15.00_0.70	8	0.85185	38	0.77525	17	0.5897	1.0988	11.3922	0.22	15.0	0.7
0.22_20.00_0.70	10	0.85515	38	0.77525	21	0.5781	1.1031	10.5079	0.22	20.0	0.7
0.22_0.00_0.80	0	0.78	35	0.77625	4	0.67805	1.0048	14.3148	0.22	0.0	0.8
0.22_5.00_0.80	0	0.82145	36	0.7761	9	0.67045	1.0584	13.2655	0.22	5.0	0.8
0.22_10.00_0.80	3	0.8256	37	0.7761	13	0.6605	1.0638	11.6846	0.22	10.0	0.8
0.22_15.00_0.80	7	0.8296	37	0.77585	17	0.65615	1.0693	10.7416	0.22	15.0	0.8
0.22_20.00_0.80	10	0.8326	38	0.77575	21	0.6464	1.0733	10.0071	0.22	20.0	0.8
0.22_0.00_0.90	0	0.78	34	0.77685	5	0.73075	1.0041	13.3651	0.22	0.0	0.9
0.22_5.00_0.90	1	0.8007	33	0.7767	8	0.7267	1.0309	12.32	0.22	5.0	0.9
0.22_10.00_0.90	5	0.8028	35	0.77665	12	0.7189	1.0337	9.5532	0.22	10.0	0.9
0.22_15.00_0.90	7	0.805	35	0.77715	16	0.7146	1.0358	9.9083	0.22	15.0	0.9
0.22_20.00_0.90	12	0.8079	36	0.77635	20	0.7091	1.0406	8.6206	0.22	20.0	0.9
0.28_0.00_0.00	0	0.72	39	0.07295	31	0.03375	9.8698	36.7989	0.28	0.0	0.0
0.28_5.00_0.00	0	0.9744	39	0.07855	32	0.0384	12.4048	32.6185	0.28	5.0	0.0
0.28_10.00_0.00	0	0.98585	39	0.07855	34	0.04165	12.5506	27.6447	0.28	10.0	0.0
0.28_15.00_0.00	0	0.9904	39	0.0807	35	0.04795	12.2726	22.6885	0.28	15.0	0.0
0.28_20.00_0.00	1	0.99315	39	0.0885	36	0.05505	11.222	17.8269	0.28	20.0	0.0
0.28_0.00_0.10	0	0.72	39	0.6683	14	0.1498	1.0774	33.6681	0.28	0.0	0.1
0.28_5.00_0.10	0	0.9494	39	0.65795	19	0.14415	1.443	29.8879	0.28	5.0	0.1
0.28_10.00_0.10	0	0.9602	39	0.63755	23	0.1487	1.5061	25.7591	0.28	10.0	0.1
0.28_15.00_0.10	1	0.96395	39	0.60465	24	0.14995	1.5942	21.4417	0.28	15.0	0.1
0.28_20.00_0.10	5	0.96735	39	0.5561	29	0.1498	1.7395	17.2198	0.28	20.0	0.1
0.28_0.00_0.20	0	0.72	39	0.69955	10	0.23615	1.0292	29.6913	0.28	0.0	0.2
0.28_5.00_0.20	0	0.9212	39	0.69955	14	0.23375	1.3168	26.7164	0.28	5.0	0.2
0.28_10.00_0.20	0	0.93265	39	0.69295	20	0.2284	1.3459	23.2521	0.28	10.0	0.2
0.28_15.00_0.20	1	0.93805	39	0.68275	23	0.2243	1.3739	19.8045	0.28	15.0	0.2
0.28_20.00_0.20	8	0.94285	39	0.65695	27	0.21585	1.4352	16.3659	0.28	20.0	0.2
0.28_0.00_0.30	0	0.72	39	0.7062	8	0.31265	1.0195	26.3648	0.28	0.0	0.3
0.28_5.00_0.30	0	0.89565	39	0.7066	14	0.3073	1.2675	23.889	0.28	5.0	0.3
0.28_10.00_0.30	0	0.90795	39	0.70685	18	0.29725	1.2845	20.8346	0.28	10.0	0.3
0.28_15.00_0.30	4	0.9129	39	0.70175	21	0.2925	1.3009	18.2943	0.28	15.0	0.3
0.28_20.00_0.30	9	0.9183	39	0.6922	26	0.283	1.3266	15.4576	0.28	20.0	0.3
0.28_0.00_0.40	0	0.72	39	0.70915	8	0.3867	1.0153	23.5457	0.28	0.0	0.4
0.28_5.00_0.40	0	0.8735	39	0.70995	12	0.37155	1.2304	21.481	0.28	5.0	0.4
0.28_10.00_0.40	2	0.88195	39	0.70955	15	0.3703	1.243	19.316	0.28	10.0	0.4
0.28_15.00_0.40	7	0.8877	39	0.70755	21	0.35325	1.2546	16.8104	0.28	15.0	0.4
0.28_20.00_0.40	11	0.8954	39	0.7048	24	0.33625	1.2704	14.4342	0.28	20.0	0.4
0.28_0.00_0.50	0	0.72	38	0.71195	6	0.4448	1.0113	21.9585	0.28	0.0	0.5
0.28_5.00_0.50	0	0.84645	39	0.71105	11	0.4375	1.1904	19.7534	0.28	5.0	0.5
0.28_10.00_0.50	2	0.85565	39	0.7112	17	0.43	1.2031	17.7126	0.28	10.0	0.5
0.28_15.00_0.50	7	0.8632	39	0.7107	19	0.4126	1.2146	15.5279	0.28	15.0	0.5
0.28_20.00_0.50	9	0.8692	39	0.7102	24	0.40175	1.2239	13.738	0.28	20.0	0.5
0.28_0.00_0.60	0	0.72	38	0.7126	7	0.51215	1.0104	19.9739	0.28	0.0	0.6
0.28_5.00_0.60	0	0.8216	39	0.7122	10	0.4992	1.1536	18.5243	0.28	5.0	0.6
0.28_10.00_0.60	3	0.8307	39	0.71235	14	0.48805	1.1661	16.2163	0.28	10.0	0.6
0.28_15.00_0.60	8	0.83595	39	0.71215	18	0.47475	1.1738	14.753	0.28	15.0	0.6
0.28_20.00_0.60	11	0.84325	39	0.71225	22	0.4571	1.1839	12.8855	0.28	20.0	0.6
0.28_0.00_0.70	0	0.72	37	0.71315	6	0.56715	1.0096	18.1757	0.28	0.0	0.7
0.28_5.00_0.70	0	0.79575	38	0.7135	10	0.5574	1.1153	16.5825	0.28	5.0	0.7
0.28_10.00_0.70	5	0.80235	38	0.71375	14	0.5471	1.1241	15.1404	0.28	10.0	0.7
0.28_15.00_0.70	8	0.80885	38	0.7131	17	0.5339	1.1343	13.5403	0.28	15.0	0.7
0.28_20.00_0.70	11	0.8171	39	0.7127	22	0.52065	1.1465	11.9891	0.28	20.0	0.7
0.28_0.00_0.80	0	0.72	37	0.71495	5	0.6159	1.0071	16.1393	0.28	0.0	0.8
0.28_5.00_0.80	0	0.77165	36	0.715	10	0.6116	1.0792	15.2505	0.28	5.0	0.8
0.28_10.00_0.80	4	0.77555	37	0.71405	15	0.60345	1.0861	13.4559	0.28	10.0	0.8
0.28_15.00_0.80	7	0.783	38	0.7147	17	0.59475	1.0956	12.2357	0.28	15.0	0.8
0.28_20.00_0.80	12	0.78845	38	0.71425	20	0.5827	1.1039	11.2241	0.28	20.0	0.8
0.28_0.00_0.90	0	0.72	35	0.7158	4	0.66895	1.0059	14.1703	0.28	0.0	0.9
0.28_5.00_0.90	0	0.7456	35	0.7155	10	0.66535	1.0421	13.6284	0.28	5.0	0.9
0.28_10.00_0.90	4	0.74945	38	0.71555	13	0.6609	1.0474	12.7216	0.28	10.0	0.9
0.28_15.00_0.90	6	0.7515	37	0.7155	17	0.6548	1.0503	11.613	0.28	15.0	0.9
0.28_20.00_0.90	12	0.755	37	0.715	20	0.64905	1.0559	10.0945	0.28	20.0	0.9
0.36_0.00_0.00	0	0.64	39	0.04565	33	0.0257	14.0197	36.9949	0.36	0.0	0.0
0.36_5.00_0.00	0	0.96185	39	0.0463	35	0.02585	20.7743	32.7093	0.36	5.0	0.0
0.36_10.00_0.00	0	0.9795	39	0.0474	36	0.02945	20.6646	27.8208	0.36	10.0	0.0
0.36_15.00_0.00	0	0.9857	39	0.049	36	0.03185	20.1163	22.96	0.36	15.0	0.0
0.36_20.00_0.00	0	0.98995	39	0.0526	36	0.0388	18.8203	18.2064	0.36	20.0	0.0
0.36_0.00_0.10	0	0.64	39	0.53235	16	0.1253	1.2022	35.0938	0.36	0.0	0.1
0.36_5.00_0.10	0	0.9305	39	0.51345	22	0.12505	1.8123	31.2488	0.36	5.0	0.1
0.36_10.00_0.10	0	0.9454	39	0.48465	22	0.12175	1.9507	26.8531	0.36	10.0	0.1
0.36_15.00_0.10	2	0.9541	39	0.44455	25	0.1207	2.1462	22.3227	0.36	15.0	0.1
0.36_20.00_0.10	3	0.9557	39	0.3907	29	0.1181	2.4461	17.9839	0.36	20.0	0.1
0.36_0.00_0.20	0	0.64	39	0.60085	11	0.1948	1.0652	32.4185	0.36	0.0	0.2
0.36_5.00_0.20	0	0.89685	39	0.59305	13	0.1961	1.5123	29.1239	0.36	5.0	0.2
0.36_10.00_0.20	0	0.9129	39	0.577	19	0.1898	1.5821	25.2533	0.36	10.0	0.2
0.36_15.00_0.20	4	0.91855	39	0.5586	24	0.1802	1.6444	21.2849	0.36	15.0	0.2
0.36_20.00_0.20	6	0.9255	39	0.51735	27	0.1746	1.7889	17.4444	0.36	20.0	0.2
0.36_0.00_0.30	0	0.64	39	0.6169	13	0.26895	1.0374	29.7948	0.36	0.0	0.3
0.36_5.00_0.30	0	0.86375	39	0.61545	15	0.2619	1.4034	26.9715	0.36	5.0	0.3
0.36_10.00_0.30	1	0.8794	39	0.60925	17	0.24785	1.4434	23.3907	0.36	10.0	0.3
0.36_15.00_0.30	5	0.88655	39	0.59875	21	0.243	1.4807	20.2018	0.36	15.0	0.3
0.36_20.00_0.30	6	0.8932	39	0.57585	26	0.23265	1.5511	16.9711	0.36	20.0	0.3
0.36_0.00_0.40	0	0.64	39	0.62495	10	0.32565	1.0241	27.3209	0.36	0.0	0.4
0.36_5.00_0.40	0	0.83275	39	0.623	13	0.32105	1.3367	24.714	0.36	5.0	0.4
0.36_10.00_0.40	3	0.8464	39	0.6194	19	0.31	1.3665	21.9404	0.36	10.0	0.4
0.36_15.00_0.40	5	0.85395	39	0.61555	21	0.29985	1.3873	19.2726	0.36	15.0	0.4
0.36_20.00_0.40	10	0.86555	39	0.60345	25	0.2804	1.4343	16.1609	0.36	20.0	0.4
0.36_0.00_0.50	0	0.64	39	0.62825	9	0.38845	1.0187	25.3383	0.36	0.0	0.5
0.36_5.00_0.50	0	0.80095	39	0.62685	12	0.37725	1.2777	23.2916	0.36	5.0	0.5
0.36_10.00_0.50	3	0.81255	39	0.62525	14	0.36795	1.2996	20.5313	0.36	10.0	0.5
0.36_15.00_0.50	7	0.8229	39	0.62135	20	0.35085	1.3244	17.941	0.36	15.0	0.5
0.36_20.00_0.50	11	0.8345	39	0.6178	24	0.33845	1.3508	15.5031	0.36	20.0	0.5
0.36_0.00_0.60	0	0.64	39	0.63005	8	0.4435	1.0158	23.452	0.36	0.0	0.6
0.36_5.00_0.60	0	0.7683	39	0.62965	13	0.43525	1.2202	21.8523	0.36	5.0	0.6
