alpha = 0.3600
gamma = 60.0000
prob.endemic = 0.9000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1950299531
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9495	0.0000	0.0119	0.6724	0.9999	0.5028
0.9486	1.0268	0.0119	0.6745	0.9999	0.5200
0.9472	2.0818	0.0118	0.6742	0.9999	0.5064
0.9438	3.1582	0.0118	0.6765	0.9999	0.5022
0.9442	4.2678	0.0117	0.6753	0.9999	0.4929
0.9440	5.4102	0.0117	0.6758	0.9999	0.4966
0.9412	6.5848	0.0116	0.6767	0.9999	0.4812
0.9427	7.7878	0.0116	0.6777	0.9999	0.5070
0.9360	9.0226	0.0115	0.6825	0.9999	0.5086
0.9363	10.3122	0.0115	0.6801	0.9999	0.4884
0.9335	11.6350	0.0114	0.6837	0.9999	0.5029
0.9256	12.9866	0.0114	0.6872	0.9999	0.4849
0.9286	14.3854	0.0113	0.6872	0.9999	0.4992
0.9260	15.8580	0.0113	0.6880	0.9999	0.4928
0.9249	17.3854	0.0112	0.6886	0.9999	0.4887
0.9242	18.9624	0.0111	0.6891	0.9999	0.4935
0.9142	20.6088	0.0110	0.6940	0.9999	0.4700
0.9149	22.3338	0.0110	0.6957	0.9999	0.4982
0.9082	24.0856	0.0109	0.6991	0.9999	0.4861
0.9038	25.9214	0.0108	0.7031	0.9999	0.4948
0.8981	27.8434	0.0108	0.7080	0.9999	0.4996
0.9017	29.8240	0.0107	0.7050	0.9999	0.5011
0.8947	31.9400	0.0106	0.7088	0.9999	0.4953
0.8872	34.1214	0.0105	0.7142	0.9999	0.4930
0.8800	36.4676	0.0104	0.7172	0.9999	0.4796
0.8716	38.9140	0.0103	0.7212	0.9999	0.4769
0.8636	41.5166	0.0102	0.7256	0.9999	0.4809
0.8603	44.1714	0.0101	0.7268	0.9999	0.4866
0.8521	47.0346	0.0100	0.7237	0.9999	0.4777
0.8473	50.0646	0.0099	0.7159	0.9999	0.4887
0.8388	53.3288	0.0097	0.6965	0.9999	0.4749
0.8328	56.7318	0.0095	0.6656	0.9999	0.4792
0.8323	60.5332	0.0093	0.6210	0.9999	0.4754
0.8426	64.7228	0.0090	0.5777	0.9999	0.4802
0.8547	69.6572	0.0087	0.5403	0.9999	0.4986
0.8709	75.8908	0.0084	0.5241	0.9999	0.4917
0.9018	83.7568	0.0081	0.5365	0.9999	0.5165
0.9316	94.7072	0.0077	0.5571	0.9999	0.5199
0.9561	111.3202	0.0070	0.5813	0.9999	0.5407
0.9822	146.2176	0.0057	0.6108	0.9999	0.5691
