alpha = 0.2200
gamma = 60.0000
prob.endemic = 0.6000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 247718159
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8036	0.0000	0.1828	0.8165	0.9999	0.5072
0.7940	1.0310	0.1827	0.8211	0.9999	0.5014
0.7958	2.0878	0.1827	0.8186	0.9999	0.4970
0.7766	3.1702	0.1826	0.8295	0.9999	0.4952
0.7732	4.2906	0.1826	0.8314	0.9999	0.4946
0.7632	5.4440	0.1826	0.8378	0.9999	0.4965
0.7634	6.6274	0.1825	0.8384	0.9999	0.4997
0.7529	7.8574	0.1825	0.8414	0.9999	0.4881
0.7440	9.1324	0.7750	0.8494	0.9999	0.4952
0.7397	10.4344	1.0007	0.8513	0.9999	0.4949
0.7324	11.7708	1.6510	0.8564	0.9999	0.4993
0.7161	13.1380	2.3287	0.8610	0.9999	0.4823
0.7202	14.5410	2.6029	0.8644	0.9999	0.5017
0.7123	15.9988	3.0970	0.8667	0.9999	0.4934
0.7050	17.4826	3.1728	0.8703	0.9999	0.4924
0.6891	19.0294	4.0582	0.8798	0.9999	0.4921
0.6844	20.6074	4.0573	0.8811	0.9999	0.4893
0.6672	22.2390	4.8813	0.8893	0.9999	0.4846
0.6666	23.9122	4.6748	0.8923	0.9999	0.4915
0.6509	25.6396	4.8892	0.8976	0.9999	0.4839
0.6332	27.4054	5.5402	0.9057	0.9999	0.4752
0.6337	29.1744	5.3140	0.9087	0.9999	0.4848
0.6193	30.9880	5.5922	0.9159	0.9999	0.4828
0.6115	32.8592	5.3583	0.9194	0.9999	0.4839
0.6062	34.7638	5.1846	0.9226	0.9999	0.4840
0.6034	36.7176	4.7442	0.9245	0.9999	0.4859
0.6018	38.7638	4.3008	0.9231	0.9999	0.4836
0.5773	40.7916	4.5128	0.9327	0.9999	0.4757
0.5742	42.9002	3.9495	0.9343	0.9999	0.4781
0.5679	45.0656	3.5405	0.9338	0.9999	0.4763
0.5525	47.2332	3.0903	0.9368	0.9999	0.4719
0.5497	49.4212	2.5526	0.9289	0.9999	0.4698
0.5325	51.6872	2.0999	0.9178	0.9999	0.4616
0.5356	54.0120	1.3878	0.8813	0.9999	0.4661
0.5266	56.3460	0.8208	0.8164	0.9999	0.4593
0.5255	58.9468	0.2240	0.7106	0.9999	0.4601
0.5174	61.8318	0.1296	0.5640	0.9999	0.4551
0.5560	65.4530	-0.4995	0.4251	0.9999	0.4809
0.5998	70.7264	-1.0732	0.3318	0.9999	0.5069
0.7061	83.4320	-0.9522	0.3546	0.9999	0.5374
