alpha = 0.1700
gamma = 0.0000
prob.endemic = 0.8000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1240088218
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8990	0.0000	1.7720	0.8300	0.9999	0.5100
0.9005	1.0925	1.7718	0.7684	0.9999	0.5029
0.9229	2.3522	1.7716	0.7561	0.9999	0.5402
0.9443	3.8245	1.7712	0.7640	0.9999	0.5786
0.9628	5.5896	1.7711	0.7785	0.9999	0.6260
0.9792	7.7802	1.7705	0.7972	0.9999	0.6766
0.9881	10.5237	1.7702	0.8085	0.9999	0.7338
0.9951	14.2974	1.7695	0.8190	0.9999	0.8043
0.9985	19.9409	1.7686	0.8254	0.9999	0.8717
0.9996	31.3152	1.7668	0.8276	0.9999	0.9342
