alpha = 0.2800
gamma = 10.0000
prob.endemic = 0.6000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1711910975
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7980	0.0000	1.2742	0.8265	0.9999	0.4957
0.7825	1.0791	1.2741	0.8353	0.9999	0.4976
0.7650	2.2584	1.2740	0.8444	0.9999	0.5010
0.7419	3.5341	1.4662	0.8534	0.9999	0.4918
0.7154	4.9375	2.3432	0.8625	0.9999	0.4854
0.6948	6.4287	2.2037	0.8605	0.9999	0.4832
0.6550	8.0753	1.5371	0.8248	0.9999	0.4616
0.6491	9.9309	1.2730	0.7019	0.9999	0.4622
0.6817	12.4268	1.2722	0.5450	0.9999	0.4788
0.7970	17.8955	1.2709	0.5201	0.9999	0.5210
