alpha = 0.6000
gamma = 10.0000
prob.endemic = 0.3000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 743349320
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6503	0.0000	16.0807	0.7838	0.9999	0.4980
0.6277	1.0706	19.3011	0.8036	0.9999	0.4935
0.5936	2.2149	23.6328	0.8264	0.9999	0.4774
0.5729	3.4373	16.9839	0.8436	0.9999	0.4751
0.5492	4.7167	11.4279	0.8514	0.9999	0.4649
0.5280	6.0743	5.5194	0.8414	0.9999	0.4572
0.4984	7.5103	2.4080	0.7838	0.9999	0.4391
0.4739	9.1006	0.8332	0.6076	0.9999	0.4213
0.4587	11.0108	0.5107	0.3433	0.9999	0.4081
0.4763	14.3618	0.0590	0.1443	0.9999	0.4173
