alpha = 0.1700
gamma = 0.0000
prob.endemic = 0.4000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 511222379
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7022	0.0000	1.7720	0.8300	0.9999	0.5014
0.7014	1.0639	1.4662	0.6466	0.9999	0.4988
0.7340	2.2850	1.4139	0.5752	0.9999	0.5260
0.7772	3.7617	1.6913	0.5670	0.9999	0.5614
0.8284	5.6276	1.7705	0.5958	0.9999	0.6036
0.8816	8.1292	1.7702	0.6452	0.9999	0.6491
0.9244	11.5604	1.7697	0.6974	0.9999	0.6897
0.9586	16.4429	1.7689	0.7503	0.9999	0.7328
0.9839	24.3189	1.7677	0.7928	0.9999	0.8028
0.9965	40.8725	1.7652	0.8188	0.9999	0.8907
