alpha = 0.7700
gamma = 0.0000
prob.endemic = 0.2000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 196877237
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6010	0.0000	0.2614	0.2300	0.9999	0.5012
0.6022	1.0957	0.1595	0.1396	0.9999	0.5034
0.6000	2.3132	0.0925	0.1061	0.9999	0.4996
0.6108	3.6960	0.0547	0.0923	0.9999	0.5053
0.6167	5.3141	0.0301	0.0823	0.9999	0.5142
0.6138	7.2542	0.0132	0.0758	0.9999	0.5026
0.6340	9.6890	0.0075	0.0742	0.9999	0.5239
0.6339	12.9651	0.0027	0.0709	0.9999	0.5211
0.6478	17.8739	0.0010	0.0727	0.9999	0.5227
0.6805	27.6625	0.0006	0.0825	0.9999	0.5319
