alpha = 0.1700
gamma = 0.0000
prob.endemic = 0.5000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 397321834
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7505	0.0000	1.7720	0.8300	0.9999	0.5021
0.7511	1.0740	1.7714	0.6759	0.9999	0.4998
0.7818	2.2994	1.7714	0.6211	0.9999	0.5308
0.8246	3.7894	1.7711	0.6214	0.9999	0.5611
0.8698	5.6467	1.7707	0.6509	0.9999	0.6053
0.9133	8.0424	1.7704	0.6973	0.9999	0.6470
0.9493	11.2931	1.7698	0.7413	0.9999	0.7049
0.9764	15.8755	1.7691	0.7806	0.9999	0.7717
0.9908	23.0775	1.7681	0.8074	0.9999	0.8285
0.9981	37.6078	1.7658	0.8229	0.9999	0.9040
