alpha = 0.2200
gamma = 20.0000
prob.endemic = 0.8000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1539202276
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9011	0.0000	1.5172	0.8234	0.9999	0.5043
0.8817	1.1421	1.5170	0.8310	0.9999	0.4970
0.8559	2.4612	1.5169	0.8404	0.9999	0.4810
0.8348	3.9993	1.5167	0.8500	0.9999	0.4884
0.8013	5.7897	1.5166	0.8649	0.9999	0.4958
0.7561	7.9039	1.5164	0.8823	0.9999	0.4847
0.7180	10.3609	3.7048	0.8952	0.9999	0.4793
0.6693	13.2256	5.1305	0.9022	0.9999	0.4723
0.6250	16.5869	2.4396	0.8523	0.9999	0.4670
0.6396	21.3440	1.5140	0.6710	0.9999	0.4759
