alpha = 0.1700
gamma = 15.0000
prob.endemic = 0.4000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 297476059
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7058	0.0000	19.8604	0.9283	0.9999	0.5038
0.6136	1.2475	796.1786	0.9554	0.9999	0.4855
0.5680	2.6365	1559.0541	0.9685	0.9999	0.4773
0.5355	4.1365	1401.8631	0.9769	0.9999	0.4691
0.5119	5.7285	755.6040	0.9823	0.9999	0.4620
0.4847	7.3930	423.0466	0.9866	0.9999	0.4493
0.4668	9.1232	123.0361	0.9894	0.9999	0.4439
0.4504	10.9098	33.2150	0.9845	0.9999	0.4360
0.4277	12.7826	8.2899	0.9371	0.9999	0.4173
0.4047	14.8825	1.7720	0.7463	0.9999	0.3953
