alpha = 0.6000
gamma = 20.0000
prob.endemic = 0.8000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1036494084
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9035	0.0000	0.5118	0.5120	0.9999	0.5050
0.8828	1.1515	0.5118	0.5350	0.9999	0.4984
0.8570	2.4756	0.5117	0.5593	0.9999	0.4800
0.8364	4.0326	0.5117	0.5866	0.9999	0.4935
0.7968	5.8560	0.5116	0.6227	0.9999	0.4724
0.7552	7.9804	0.5116	0.6648	0.9999	0.4697
0.7099	10.5099	1.5566	0.7039	0.9999	0.4651
0.6608	13.4993	1.6616	0.7081	0.9999	0.4545
0.5974	17.1579	0.6465	0.6127	0.9999	0.4385
0.5780	22.7848	0.5104	0.3519	0.9999	0.4239
