alpha = 0.3600
gamma = 10.0000
prob.endemic = 0.9000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1788956791
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9488	0.0000	1.0227	0.6741	0.9999	0.4879
0.9426	1.1036	1.0226	0.6789	0.9999	0.4969
0.9379	2.3444	1.0225	0.6805	0.9999	0.4812
0.9214	3.7275	1.0224	0.6901	0.9999	0.4720
0.9174	5.3295	1.0222	0.6902	0.9999	0.4760
0.9055	7.1834	1.0221	0.6830	0.9999	0.4748
0.8925	9.3956	1.0218	0.6500	0.9999	0.4610
0.9009	12.2007	1.0214	0.6002	0.9999	0.4735
0.9260	16.4903	1.0209	0.5807	0.9999	0.4978
0.9659	25.4843	1.0201	0.6028	0.9999	0.5329
