alpha = 0.4600
gamma = 15.0000
prob.endemic = 0.8000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 1648919929
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9037	0.0000	0.7777	0.6249	0.9999	0.4999
0.8913	1.1213	0.7776	0.6371	0.9999	0.5073
0.8741	2.3871	0.7775	0.6509	0.9999	0.5004
0.8480	3.7988	0.7775	0.6717	0.9999	0.4913
0.8246	5.4377	0.7774	0.6865	0.9999	0.4749
0.7954	7.3141	0.7772	0.7066	0.9999	0.4740
0.7558	9.4816	0.7772	0.7173	0.9999	0.4577
0.7199	12.0456	0.7770	0.6784	0.9999	0.4541
0.7000	15.3493	0.7765	0.5436	0.9999	0.4519
0.7531	21.4729	0.7756	0.4047	0.9999	0.4615
