alpha = 0.1700
gamma = 20.0000
prob.endemic = 0.1000
Num. spacers = 10, Tmax = 5000, Num. replicates = 10000
seed = 652435555
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5490	0.0000	227297.2086	0.9806	0.9999	0.4998
0.4127	1.5785	28981903.5572	0.9993	0.9999	0.4107
0.3914	3.1714	13087956.7424	0.9999	0.9999	0.3911
0.3798	4.8203	4048533.8702	1.0000	0.9999	0.3798
0.3708	6.5067	962909.3822	1.0000	0.0000	0.3708
0.3538	8.2268	303626.6541	1.0000	0.0000	0.3538
0.3355	10.0266	76490.2524	1.0000	0.0000	0.3355
0.3150	11.9325	15050.9461	1.0000	0.0000	0.3150
0.2719	13.9927	3170.8500	0.9996	0.0000	0.2719
0.2047	16.4418	325.3027	0.9879	0.0000	0.2047
