age_last_spacer	a	pEndemic	g
177.961	0.28	0.6	15.0
314.611	0.13	0.3	5.0
182.792	0.13	0.8	10.0
376.517	0.17	0.2	0.0
211.531	0.22	0.6	5.0
198.365	0.22	0.7	5.0
327.793	0.17	0.3	0.0
365.593	0.13	0.2	5.0
174.223	0.13	0.9	10.0
174.774	0.28	0.7	15.0
457.295	0.1	0.2	0.0
167.306	0.77	0.9	10.0
286.169	0.1	0.2	15.0
196.726	0.36	0.7	0.0
137.66	0.6	0.3	15.0
222.616	0.22	0.6	0.0
329.029	0.17	0.2	5.0
349.798	0.13	0.3	0.0
177.141	0.13	0.8	15.0
94.0263	0.6	0.0	20.0
254.864	0.1	0.1	20.0
191.416	0.28	0.6	10.0
161.712	0.28	0.4	20.0
331.425	0.1	0.3	5.0
159.873	0.77	0.8	15.0
290.69	0.1	0.3	10.0
194.971	0.36	0.6	5.0
148.621	0.6	0.2	10.0
174.799	0.13	0.7	20.0
106.921	0.22	0.0	15.0
224.178	0.13	0.5	10.0
148.485	0.77	0.7	20.0
188.409	0.46	0.7	0.0
145.546	0.28	0.0	5.0
236.984	0.17	0.2	15.0
186.534	0.6	0.2	0.0
108.212	0.46	0.0	15.0
172.393	0.77	0.2	0.0
145.347	0.36	0.1	15.0
154.978	0.77	0.5	10.0
172.043	0.22	0.3	20.0
253.524	0.22	0.1	10.0
218.916	0.13	0.4	15.0
186.436	0.46	0.6	5.0
256.22	0.17	0.3	10.0
294.615	0.28	0.1	0.0
131.93	0.36	0.2	20.0
172.226	0.6	0.3	5.0
129.909	0.46	0.3	20.0
161.398	0.77	0.3	5.0
153.172	0.46	0.1	10.0
124.499	0.36	0.0	10.0
185.151	0.17	0.1	20.0
166.53	0.28	0.8	20.0
138.495	0.77	0.4	15.0
192.188	0.13	0.4	20.0
186.775	0.22	0.8	5.0
203.373	0.22	0.3	15.0
207.473	0.13	0.6	10.0
244.845	0.28	0.3	5.0
172.603	0.28	0.8	15.0
243.687	0.17	0.1	15.0
208.949	0.46	0.4	0.0
126.947	0.77	0.4	20.0
179.751	0.6	0.1	0.0
160.465	0.36	0.2	15.0
150.515	0.46	0.3	15.0
170.506	0.77	0.1	0.0
185.884	0.36	0.8	0.0
158.576	0.77	0.6	10.0
88.7797	0.22	0.0	20.0
178.665	0.22	0.9	0.0
249.519	0.22	0.2	10.0
185.253	0.13	0.7	15.0
131.966	0.17	0.0	10.0
291.496	0.28	0.2	0.0
173.322	0.28	0.9	10.0
189.228	0.46	0.5	5.0
147.053	0.6	0.0	5.0
90.8888	0.46	0.0	20.0
116.73	0.36	0.1	20.0
192.829	0.36	0.3	10.0
152.662	0.77	0.0	5.0
165.691	0.46	0.2	10.0
173.639	0.36	0.9	5.0
155.014	0.77	0.7	15.0
191.519	0.17	0.2	20.0
247.514	0.22	0.4	5.0
171.508	0.13	0.8	20.0
175.875	0.17	0.0	0.0
431.214	0.13	0.1	5.0
182.231	0.46	0.8	0.0
183.805	0.28	0.4	15.0
155.427	0.77	0.8	20.0
580.367	0.1	0.1	0.0
111.121	0.6	0.0	15.0
230.517	0.36	0.4	0.0
331.612	0.1	0.1	15.0
245.414	0.22	0.5	0.0
362.517	0.17	0.1	5.0
186.792	0.13	0.0	0.0
231.451	0.1	0.2	20.0
120.442	0.6	0.3	20.0
173.072	0.46	0.9	5.0
198.224	0.28	0.5	10.0
167.049	0.28	0.7	20.0
178.37	0.1	0.0	5.0
140.184	0.6	0.1	10.0
203.461	0.36	0.5	5.0
149.699	0.1	0.0	10.0
129.24	0.6	0.0	10.0
211.676	0.36	0.4	5.0
414.233	0.1	0.1	10.0
164.349	0.28	0.6	20.0
496.312	0.1	0.1	5.0
176.967	0.46	0.8	5.0
206.186	0.28	0.4	10.0
213.134	0.1	0.3	20.0
112.057	0.6	0.2	20.0
502.045	0.13	0.1	0.0
154.346	0.17	0.0	5.0
270.235	0.22	0.4	0.0
122.531	0.6	0.1	15.0
218.32	0.36	0.5	0.0
125.784	0.1	0.0	15.0
203.331	0.1	0.0	0.0
175.197	0.46	0.9	0.0
180.218	0.28	0.5	15.0
163.452	0.77	0.9	20.0
162.897	0.13	0.0	5.0
169.043	0.13	0.9	20.0
424.443	0.17	0.1	0.0
227.504	0.22	0.5	5.0
149.67	0.77	0.6	15.0
186.063	0.17	0.3	20.0
189.419	0.36	0.2	10.0
156.804	0.77	0.1	5.0
171.572	0.46	0.3	10.0
180.876	0.36	0.8	5.0
161.371	0.6	0.1	5.0
106.709	0.46	0.1	20.0
88.5748	0.36	0.0	20.0
300.433	0.17	0.1	10.0
271.886	0.28	0.3	0.0
178.399	0.28	0.8	10.0
192.444	0.46	0.4	5.0
193.583	0.13	0.6	15.0
234.939	0.22	0.3	10.0
155.733	0.22	0.1	20.0
191.61	0.22	0.8	0.0
161.267	0.77	0.7	10.0
167.692	0.36	0.3	15.0
142.571	0.46	0.2	15.0
166.73	0.77	0.0	0.0
178.536	0.36	0.9	0.0
164.63	0.6	0.0	0.0
256.466	0.28	0.2	5.0
169.879	0.28	0.9	15.0
112.071	0.17	0.0	15.0
203.232	0.46	0.5	0.0
134.085	0.77	0.5	20.0
194.081	0.13	0.7	10.0
208.353	0.22	0.2	15.0
176.527	0.22	0.9	5.0
184.671	0.13	0.5	20.0
292.419	0.22	0.2	5.0
231.484	0.17	0.6	0.0
204.4	0.13	0.7	5.0
170.565	0.22	0.9	15.0
175.833	0.28	0.9	5.0
183.143	0.28	0.2	15.0
215.319	0.1	0.7	0.0
170.407	0.36	0.8	15.0
153.946	0.6	0.6	15.0
186.875	0.1	0.7	15.0
168.307	0.46	0.9	15.0
250.588	0.36	0.2	0.0
299.802	0.22	0.3	0.0
201.331	0.17	0.7	5.0
236.026	0.13	0.6	0.0
180.13	0.22	0.8	10.0
199.643	0.1	0.4	20.0
136.724	0.6	0.5	20.0
189.315	0.28	0.8	0.0
215.771	0.28	0.3	10.0
133.82	0.28	0.1	20.0
169.236	0.17	0.8	20.0
225.852	0.1	0.6	5.0
166.559	0.6	0.7	10.0
170.705	0.36	0.9	10.0
172.153	0.46	0.8	10.0
212.356	0.1	0.6	10.0
218.222	0.36	0.3	5.0
211.676	0.13	0.2	20.0
189.114	0.22	0.5	15.0
139.746	0.13	0.0	10.0
214.669	0.46	0.2	0.0
216.507	0.28	0.5	5.0
181.646	0.17	0.7	15.0
112.641	0.77	0.2	20.0
180.326	0.6	0.7	0.0
169.208	0.36	0.4	15.0
160.056	0.46	0.5	15.0
172.406	0.77	0.7	0.0
135.11	0.77	0.0	10.0
170.75	0.22	0.6	20.0
221.242	0.22	0.4	10.0
287.861	0.13	0.1	15.0
193.094	0.46	0.3	5.0
203.249	0.17	0.6	10.0
251.75	0.28	0.4	0.0
173.286	0.1	0.8	20.0
174.958	0.6	0.6	5.0
151.109	0.46	0.6	20.0
161.248	0.36	0.7	20.0
163.997	0.6	0.9	20.0
188.29	0.36	0.5	10.0
167.848	0.77	0.6	5.0
173.984	0.46	0.4	10.0
122.432	0.77	0.1	15.0
182.086	0.17	0.4	20.0
117.127	0.77	0.0	15.0
178.278	0.17	0.5	20.0
189.653	0.36	0.4	10.0
167.922	0.77	0.7	5.0
174.891	0.46	0.5	10.0
169.741	0.1	0.9	20.0
174.372	0.6	0.7	5.0
156.407	0.46	0.7	20.0
158.035	0.36	0.6	20.0
158.34	0.6	0.8	20.0
189.966	0.46	0.2	5.0
