alpha = 0.1300	alpha = 0.1300
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.3000	prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1662967854	seed = 1260346176
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.65295	0	9.00085	0.91905	0.9999	0.50015
0.589	1.1497	12.816	0.9478	0.9999	0.48995
0.56165	2.3855	14.3998	0.96135	0.9999	0.488
0.5448	3.6738	14.9903	0.9702	0.9999	0.4889
0.53085	5.0066	15.4912	0.9747	0.9999	0.4834
0.5286	6.3577	14.9536	0.97895	0.9999	0.4895
0.50995	7.7473	15.6293	0.9833	0.9999	0.4784
0.5064	9.1565	15.444	0.9859	0.9999	0.4806
0.49825	10.5702	15.3751	0.9893	0.9999	0.47895
0.4949	11.9999	14.9325	0.99055	0.9999	0.4778
0.4886	13.4631	14.8837	0.9923	0.9999	0.4748
0.4852	14.9169	14.5106	0.99395	0.9999	0.47475
0.48065	16.3893	14.3434	0.99465	0.9999	0.47175
0.4739	17.8629	14.1858	0.99525	0.9999	0.4661
0.4815	19.3585	13.2416	0.9955	0.9999	0.4742
0.4768	20.8628	13.0236	0.9962	0.9999	0.47105
0.47365	22.3704	12.4855	0.9975	0.9999	0.4703
0.4689	23.8786	12.152	0.9969	0.9999	0.4647
0.47085	25.3995	11.5571	0.9975	0.9999	0.46755
0.47055	26.9345	11.0846	0.99745	0.9999	0.4677
0.46225	28.4543	10.8368	0.9981	0.9999	0.4603
0.46335	29.9773	10.3034	0.998	0.9999	0.46155
0.46125	31.5099	9.92395	0.9979	0.9999	0.4595
0.46135	33.0587	9.39505	0.9981	0.9999	0.45995
0.45685	34.6108	8.8602	0.99805	0.9999	0.4558
0.4599	36.1675	8.208	0.9981	0.9999	0.4593
0.4513	37.706	8.0295	0.99785	0.9999	0.4504
0.4536	39.2655	7.38405	0.9978	0.9999	0.45315
0.4492	40.8467	6.91315	0.9974	0.9999	0.4488
0.44265	42.4388	6.442	0.99715	0.9999	0.44245
0.4409	44.0246	5.94805	0.99635	0.9999	0.44065
0.43575	45.6478	5.5085	0.99575	0.49995	0.43555
0.43855	47.2745	4.7074	0.99435	0.9999	0.43835
0.42955	48.9258	4.2248	0.9929	0.49995	0.4295
0.42755	50.6088	3.5682	0.98905	0.9999	0.4272
0.41385	52.3241	3.07355	0.98255	0	0.41385
0.40145	54.0887	2.45945	0.9666	0.9999	0.40115
0.3815	55.9562	1.86595	0.92885	0	0.3815
0.36325	57.9781	1.127	0.84265	0	0.36325
0.3463	60.5591	0.3097	0.66615	0.49995	0.34615
