alpha = 0.3600	alpha = 0.3600
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.7000	prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 515112766	seed = 113280202
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.8513	0	0.0119	0.74125	0.9999	0.49585
0.8478	1.0275	0.0119	0.7451	0.9999	0.5011
0.8374	2.0852	0.0118	0.7514	0.9999	0.4976
0.8378	3.1701	0.0118	0.7525	0.9999	0.5041
0.8323	4.2885	0.0117	0.75395	0.9999	0.49275
0.8309	5.4272	0.0117	0.7568	0.9999	0.5014
0.82385	6.6062	0.0116	0.76305	0.9999	0.50665
0.82055	7.8148	0.0116	0.76425	0.9999	0.5028
0.81365	9.0581	0.0116	0.7679	0.9999	0.49465
0.80735	10.3387	0.0115	0.7718	0.9999	0.4954
0.7982	11.6629	0.0115	0.7784	0.9999	0.49625
0.799	13.0354	0.0114	0.7782	0.9999	0.4965
0.7915	14.4425	0.0113	0.7834	0.9999	0.49525
0.78155	15.8944	0.0113	0.7905	0.9999	0.49695
0.77025	17.3843	0.0113	0.7959	0.9999	0.4877
0.7663	18.9254	0.0112	0.7992	0.9999	0.4908
0.7583	20.5291	0.0112	0.8047	0.9999	0.4913
0.748	22.1528	0.01115	0.81055	0.9999	0.48485
0.7429	23.8427	0.32375	0.81535	0.9999	0.49045
0.73615	25.5856	0.80315	0.81965	0.9999	0.49015
0.7246	27.3818	1.3482	0.8267	0.9999	0.48745
0.71615	29.2438	1.67545	0.8312	0.9999	0.4849
0.7057	31.1667	1.92355	0.83655	0.9999	0.48275
0.6979	33.1391	2.19335	0.84465	0.9999	0.4893
0.68805	35.175	2.2853	0.8486	0.9999	0.48385
0.67635	37.2614	2.46335	0.8546	0.9999	0.4825
0.66215	39.4014	2.5422	0.86115	0.9999	0.4745
0.65215	41.642	2.4427	0.86665	0.9999	0.47885
0.6487	43.8989	2.22625	0.8681	0.9999	0.48275
0.6453	46.2783	1.8575	0.8646	0.9999	0.48155
0.6193	48.6892	1.6812	0.86515	0.9999	0.467
0.6168	51.1766	1.18755	0.84595	0.9999	0.4697
0.6078	53.8043	0.718	0.8068	0.9999	0.4666
0.59425	56.558	0.23065	0.73775	0.9999	0.4626
0.59405	59.5077	0.0094	0.63405	0.9999	0.46495
0.60395	62.82	0.0089	0.5197	0.9999	0.4696
0.62325	66.8085	-0.4368	0.40885	0.9999	0.4765
0.6595	72.3142	-0.7945	0.35065	0.9999	0.4885
0.71605	81.0858	-0.7402	0.3445	0.9999	0.5092
0.8254	101.461	0.0061	0.4274	0.9999	0.54515
