alpha = 0.4600	alpha = 0.4600
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.0000	prob.endemic = 0.0000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1351564235	seed = 1698654324
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.49835	0	18.0227	0.9903	0.9999	0.4982
0.4376	1.1507	21.0579	0.99995	0	0.4376
0.4338	2.3188	20.7135	1	0	0.4338
0.4254	3.4868	20.9706	1	0	0.4254
0.42665	4.6619	20.3135	1	0	0.42665
0.42935	5.8412	19.6307	1	0	0.42935
0.42085	7.0235	19.7525	1	0	0.42085
0.4218	8.2116	19.3253	1	0	0.4218
0.4235	9.4089	18.6775	1	0	0.4235
0.4197	10.6134	18.4325	1	0	0.4197
0.41125	11.8217	18.6108	1	0	0.41125
0.41365	13.0336	17.8811	1	0	0.41365
0.41165	14.2626	17.4333	1	0	0.41165
0.4082	15.4919	17.1758	1	0	0.4082
0.41055	16.7139	16.5909	1	0	0.41055
0.40415	17.9455	16.5425	1	0	0.40415
0.402	19.1891	16.1469	1	0	0.402
0.39725	20.4396	15.6479	1	0	0.39725
0.3968	21.6997	15.1597	1	0	0.3968
0.39075	22.9681	15.084	1	0	0.39075
0.39155	24.2505	14.4315	1	0	0.39155
0.3854	25.5459	14.2723	1	0	0.3854
0.3827	26.8452	13.7092	1	0	0.3827
0.38345	28.1557	12.9977	1	0	0.38345
0.3767	29.4829	12.8283	1	0	0.3767
0.3735	30.8167	12.3675	1	0	0.3735
0.3685	32.1689	11.9064	1	0	0.3685
0.3637	33.5403	11.573	1	0	0.3637
0.35485	34.9291	11.2539	1	0	0.35485
0.3517	36.3553	10.5894	1	0	0.3517
0.34265	37.7896	10.1852	1	0	0.34265
0.33785	39.269	9.6331	1	0	0.33785
0.32255	40.7917	9.3358	1	0	0.32255
0.31465	42.3411	8.7665	1	0	0.31465
0.3007	43.9643	8.23685	1	0	0.3007
0.28885	45.6708	7.49795	1	0	0.28885
0.26575	47.4545	7.1321	1	0	0.26575
0.241	49.4053	6.38935	1	0	0.241
0.20145	51.6251	5.60815	0.99985	0	0.20145
0.1427	54.4364	4.42975	0.9972	0	0.1427
