alpha = 0.2200	alpha = 0.2200
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.8000	prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 867615543	seed = 2052382119
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.90425	0	0.1828	0.75525	0.9999	0.49775
0.89565	1.0248	0.1827	0.75905	0.9999	0.4878
0.8883	2.072	0.1827	0.76405	0.9999	0.49505
0.89315	3.1554	0.1826	0.76205	0.9999	0.499
0.88675	4.2647	0.1826	0.76445	0.9999	0.49215
0.888	5.4041	0.1826	0.76545	0.9999	0.5045
0.8811	6.5825	0.1825	0.76865	0.9999	0.49855
0.8841	7.7913	0.1825	0.76845	0.9999	0.5102
0.87255	9.0293	0.1824	0.77435	0.9999	0.50145
0.87145	10.3023	0.1823	0.77355	0.9999	0.4934
0.8642	11.6106	0.1823	0.7782	0.9999	0.4935
0.86185	12.95	0.1822	0.7799	0.9999	0.4971
0.8586	14.3494	0.1822	0.78235	0.9999	0.50215
0.85415	15.79	0.1821	0.7838	0.9999	0.4946
0.8486	17.2837	0.1821	0.78555	0.9999	0.4853
0.841	18.8463	0.182	0.79005	0.9999	0.4879
0.8382	20.4462	0.1819	0.79305	0.9999	0.49475
0.8329	22.0941	0.1819	0.79575	0.9999	0.49505
0.8249	23.7726	0.18185	0.8003	0.9999	0.49295
0.8167	25.5337	0.1818	0.80275	0.9999	0.48205
0.81385	27.3577	0.1817	0.80545	0.9999	0.4889
0.8	29.2548	0.1816	0.81245	0.9999	0.48515
0.79975	31.2083	0.1816	0.8137	0.9999	0.491
0.78645	33.2755	0.1815	0.8177	0.9999	0.4764
0.7835	35.3975	0.1814	0.82135	0.9999	0.486
0.77425	37.6223	0.18135	0.82435	0.9999	0.48035
0.76085	39.9327	0.1813	0.8317	0.9999	0.48255
0.7521	42.3192	0.18125	0.8354	0.9999	0.48315
0.74475	44.7956	0.18125	0.83605	0.9999	0.4816
0.73125	47.4046	0.2244	0.8353	0.9999	0.4743
0.72015	50.0995	0.26055	0.82815	0.9999	0.47675
0.7129	52.9486	0.1809	0.8039	0.9999	0.47415
0.7066	55.96	0.1806	0.7569	0.9999	0.47675
0.7022	59.1942	0.1802	0.68995	0.9999	0.47445
0.71815	62.9457	0.17995	0.6088	0.9999	0.48465
0.7385	67.2671	0.17955	0.5402	0.9999	0.4887
0.772	72.9505	0.1791	0.5013	0.9999	0.50075
0.82085	80.9045	0.1787	0.5054	0.9999	0.522
0.88285	94.1638	0.17825	0.55185	0.9999	0.5449
0.9496	123.893	0.17725	0.62715	0.9999	0.57995
