alpha = 0.3600	alpha = 0.3600
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.8000	prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1111412721	seed = 1928212837
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.901	0	0.0119	0.70745	0.9999	0.50535
0.8994	1.0218	0.0119	0.70855	0.9999	0.50475
0.89345	2.0783	0.0118	0.7126	0.9999	0.5041
0.8943	3.1523	0.0118	0.71195	0.9999	0.5024
0.888	4.2593	0.0117	0.71605	0.9999	0.4982
0.8884	5.4099	0.0117	0.7162	0.9999	0.50315
0.88525	6.5882	0.0116	0.71835	0.9999	0.5042
0.8821	7.7898	0.0116	0.72045	0.9999	0.5034
0.8703	9.0286	0.0116	0.72695	0.9999	0.49135
0.86915	10.3017	0.0115	0.7282	0.9999	0.4954
0.86405	11.6271	0.0114	0.7328	0.9999	0.4996
0.8641	13.0038	0.0114	0.733	0.9999	0.49965
0.8631	14.4003	0.0113	0.73325	0.9999	0.49915
0.8532	15.8603	0.0113	0.7397	0.9999	0.4961
0.8489	17.3448	0.0112	0.7426	0.9999	0.4972
0.8423	18.8897	0.0112	0.7468	0.9999	0.4944
0.84175	20.4775	0.0111	0.74815	0.9999	0.5012
0.8345	22.1213	0.011	0.752	0.9999	0.4928
0.8227	23.8445	0.011	0.7593	0.9999	0.49005
0.81955	25.6414	0.0109	0.7626	0.9999	0.4926
0.80925	27.5084	0.0108	0.7675	0.9999	0.48835
0.8077	29.4275	0.0108	0.76975	0.9999	0.49205
0.7952	31.4389	0.0107	0.77665	0.9999	0.48835
0.78985	33.5174	0.0106	0.77955	0.9999	0.484
0.78495	35.6522	0.0106	0.78335	0.9999	0.48905
0.77095	37.8763	0.0105	0.7918	0.9999	0.48615
0.76455	40.2	0.0104	0.7951	0.9999	0.4882
0.75315	42.6078	0.0104	0.79935	0.9999	0.4837
0.73865	45.1644	0.0832	0.8045	0.9999	0.48335
0.72765	47.7905	0.08755	0.7994	0.9999	0.47155
0.7215	50.5488	0.01025	0.78435	0.9999	0.46855
0.7081	53.4279	0.01	0.7571	0.9999	0.47115
0.70675	56.4577	0.0097	0.7028	0.9999	0.4746
0.69995	59.7795	0.0093	0.62525	0.9999	0.47535
0.7082	63.598	0.009	0.53465	0.9999	0.481
0.72935	68.0526	0.0085	0.46835	0.9999	0.4848
0.7635	73.7207	0.00805	0.4342	0.9999	0.50275
0.80355	81.6978	0.0077	0.43605	0.9999	0.50555
0.86015	94.5866	0.0073	0.47445	0.9999	0.5307
0.93125	123.045	0.0063	0.54785	0.9999	0.55485
