alpha = 0.7700	alpha = 0.7700
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.6000	prob.endemic = 0.6000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1170410903	seed = 1401886665
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.79575	0	-0.5801	0.65435	0.9999	0.49925
0.7906	1.0331	-0.5802	0.6589	0.9999	0.4988
0.787	2.0963	-0.5802	0.66455	0.9999	0.502
0.78265	3.193	-0.5803	0.6695	0.9999	0.49865
0.77515	4.3168	-0.5803	0.6767	0.9999	0.4981
0.7651	5.4733	-0.5804	0.6851	0.9999	0.49265
0.74995	6.6699	-0.5804	0.70125	0.9999	0.4912
0.75355	7.9106	-0.5805	0.70065	0.9999	0.49755
0.7375	9.1889	0.314	0.71495	0.9999	0.4915
0.7297	10.4975	1.0517	0.7228	0.9999	0.48885
0.7236	11.852	1.75845	0.7337	0.9999	0.4972
0.71825	13.2374	1.9236	0.73705	0.9999	0.4932
0.7055	14.6817	2.4989	0.74595	0.9999	0.48595
0.6977	16.1682	3.1208	0.7574	0.9999	0.4883
0.6895	17.7052	3.51245	0.7686	0.9999	0.49215
0.6869	19.2882	3.3891	0.76765	0.9999	0.488
0.67115	20.9152	4.1113	0.78235	0.9999	0.4852
0.66455	22.5932	4.3112	0.78915	0.9999	0.48485
0.65625	24.3128	4.32665	0.80045	0.9999	0.48795
0.64605	26.1041	4.548	0.8071	0.9999	0.48335
0.6355	27.9098	4.59995	0.8174	0.9999	0.4841
0.62315	29.7475	4.74155	0.8275	0.9999	0.47815
0.61325	31.6549	4.74265	0.8369	0.9999	0.47905
0.6051	33.638	4.593	0.84095	0.9999	0.4739
0.58635	35.651	4.6944	0.8562	0.9999	0.4724
0.5821	37.7125	4.2794	0.8576	0.9999	0.47015
0.57205	39.815	3.9579	0.8641	0.9999	0.4694
0.56285	41.9701	3.57105	0.86555	0.9999	0.46455
0.5522	44.144	3.20875	0.86685	0.9999	0.4608
0.5457	46.4151	2.6619	0.86625	0.9999	0.46435
0.53505	48.7236	2.1335	0.84895	0.9999	0.4554
0.52755	51.0799	1.4799	0.8209	0.9999	0.45355
0.5157	53.5139	0.8541	0.7648	0.9999	0.44615
0.50175	56.0675	0.20865	0.6772	0.9999	0.4368
0.5033	58.7994	-0.4713	0.54845	0.9999	0.4393
0.5014	61.8028	-0.59295	0.40295	0.9999	0.4425
0.49915	65.4572	-1.4787	0.26795	0.9999	0.43895
0.50755	70.065	-2.6268	0.17135	0.9999	0.44195
0.52335	76.8631	-4.0686	0.1184	0.9999	0.44695
0.57355	90.8507	-5.7699	0.11665	0.9999	0.45675
