alpha = 0.4600	alpha = 0.4600
gamma = 60.0000	gamma = 60.0000
prob.endemic = 0.4000	prob.endemic = 0.4000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000	Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1621011583	seed = 1651014343
beta	age	efficacy	fitness	endemicBeta	epidemicBeta
0.7008	0	4.8111	0.83275	0.9999	0.50475
0.67125	1.0561	6.9367	0.8508	0.9999	0.4922
0.66815	2.1709	7.13955	0.85775	0.9999	0.50025
0.6519	3.3444	8.0755	0.8706	0.9999	0.5
0.6334	4.5552	8.9251	0.88035	0.9999	0.4912
0.6134	5.8159	10.0938	0.89545	0.9999	0.48815
0.6067	7.1112	10.3057	0.9033	0.9999	0.4934
0.5952	8.454	10.7298	0.91185	0.9999	0.4914
0.58635	9.8268	10.9212	0.9183	0.9999	0.49075
0.5701	11.2446	11.2388	0.92785	0.9999	0.48575
0.5565	12.692	11.589	0.9374	0.9999	0.4835
0.55435	14.1771	11.2548	0.9405	0.9999	0.4852
0.5411	15.6838	11.6082	0.9499	0.9999	0.4834
0.53895	17.2055	11.2401	0.95315	0.9999	0.48635
0.5301	18.7482	11.0672	0.9584	0.9999	0.4829
0.51885	20.3067	11.0392	0.962	0.9999	0.4763
0.5118	21.9011	11.0618	0.96625	0.9999	0.47465
0.51155	23.5176	10.6084	0.9687	0.9999	0.4785
0.5078	25.1517	10.096	0.96985	0.9999	0.47575
0.5032	26.7885	9.84085	0.97395	0.9999	0.47685
0.4977	28.4554	9.34285	0.9752	0.9999	0.47295
0.49565	30.1414	8.9471	0.9765	0.9999	0.473
0.49325	31.838	8.4364	0.978	0.9999	0.47355
0.4875	33.5375	8.0794	0.98005	0.9999	0.47115
0.48535	35.2545	7.4714	0.9821	0.9999	0.47125
0.48255	36.9898	7.0422	0.98205	0.9999	0.4702
0.47995	38.741	6.5266	0.982	0.9999	0.4693
0.47555	40.4817	5.9758	0.98305	0.9999	0.46675
0.4641	42.2553	5.7813	0.9812	0.9999	0.45535
0.46565	44.0386	5.04445	0.98015	0.9999	0.4589
0.4564	45.8436	4.5893	0.97875	0.9999	0.4512
0.45675	47.6624	3.8756	0.9727	0.9999	0.45095
0.4491	49.5124	3.2776	0.96605	0.9999	0.4444
0.4424	51.3828	2.7411	0.95175	0.9999	0.43875
0.43775	53.2998	2.0502	0.92255	0.9999	0.4342
0.42905	55.2549	1.35965	0.87115	0.9999	0.4261
0.42375	57.2815	0.70195	0.77625	0.9999	0.4209
0.4097	59.5539	0.07	0.63055	0.9999	0.40715
0.41695	62.3674	-0.5713	0.44495	0.9999	0.41455
0.43265	67.0616	-1.6933	0.25215	0.9999	0.428
