alpha = 0.6000
gamma = 5.0000
prob.endemic = 0.2000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1935463213
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6063	0.0000	4.9021	0.8004	0.9999	0.5055
0.5892	1.0062	3.6685	0.7941	0.9999	0.4949
0.5999	2.0204	2.0437	0.7618	0.9999	0.4995
0.5856	3.0408	1.3826	0.7237	0.9999	0.4883
0.5900	4.0704	0.7824	0.6144	0.9999	0.4956
0.5834	5.1152	0.5108	0.3838	0.9999	0.4880
0.5905	6.1804	0.2964	0.2403	0.9999	0.4925
0.5854	7.2760	0.1640	0.1830	0.9999	0.4911
0.5962	8.4052	0.1007	0.1609	0.9999	0.4957
0.5958	9.5704	0.0588	0.1448	0.9999	0.4920
0.5934	10.7744	0.0314	0.1327	0.9999	0.4903
0.5987	12.0064	0.0191	0.1240	0.9999	0.4988
0.5950	13.2860	0.0100	0.1184	0.9999	0.4957
0.6026	14.6192	0.0055	0.1186	0.9999	0.4954
0.6085	15.9918	0.0040	0.1159	0.9999	0.4998
0.6095	17.4422	0.0020	0.1141	0.9999	0.5021
0.6129	18.9360	0.0013	0.1118	0.9999	0.5067
0.6009	20.4908	0.0004	0.1041	0.9999	0.4997
0.6101	22.1470	0.0003	0.1092	0.9999	0.4970
0.6168	23.8758	0.0002	0.1092	0.9999	0.5028
0.6199	25.7026	0.0001	0.1074	0.9999	0.5080
0.6181	27.5914	0.0000	0.1060	0.9999	0.5059
0.6209	29.6222	0.0000	0.1059	0.9999	0.5120
0.6251	31.7634	0.0000	0.1124	0.9999	0.5044
0.6289	34.0574	0.0000	0.1122	0.9999	0.5083
0.6320	36.4838	0.0000	0.1117	0.9999	0.5108
0.6386	39.1206	0.0000	0.1153	0.9999	0.5133
0.6279	42.0042	0.0000	0.1124	0.9999	0.5015
0.6458	45.0916	0.0000	0.1193	0.9999	0.5130
0.6449	48.4680	0.0000	0.1197	0.9999	0.5092
0.6459	52.2222	0.0000	0.1210	0.9999	0.5077
0.6554	56.4292	0.0000	0.1247	0.9999	0.5123
0.6618	61.2028	0.0000	0.1335	0.9999	0.5068
0.6805	66.7608	0.0000	0.1409	0.9999	0.5198
0.6883	73.2124	0.0000	0.1450	0.9999	0.5230
0.6904	81.1250	0.0000	0.1485	0.9999	0.5187
0.6990	91.0664	0.0000	0.1570	0.9999	0.5153
0.7247	104.3168	0.0001	0.1759	0.9999	0.5185
0.7575	124.6380	0.2793	0.2004	0.9999	0.5210
0.8173	169.8904	0.4997	0.2479	0.9999	0.5203
