alpha = 0.7700
gamma = 0.0000
prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 111622413
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9075	0.0000	0.2614	0.2300	0.9999	0.5105
0.9052	1.0236	0.2613	0.2089	0.9999	0.5015
0.9028	2.0726	0.2613	0.2006	0.9999	0.5155
0.9021	3.1540	0.2613	0.1968	0.9999	0.4948
0.9017	4.2712	0.2613	0.1940	0.9999	0.4929
0.9059	5.4156	0.2612	0.1940	0.9999	0.4959
0.9024	6.5944	0.2612	0.1914	0.9999	0.5047
0.8965	7.8082	0.2612	0.1883	0.9999	0.4992
0.9044	9.0530	0.2611	0.1916	0.9999	0.4855
0.9093	10.3546	0.2611	0.1917	0.9999	0.5066
0.9035	11.6784	0.2611	0.1890	0.9999	0.5041
0.9044	13.0632	0.2610	0.1895	0.9999	0.4953
0.9076	14.4924	0.2610	0.1902	0.9999	0.5020
0.9100	15.9472	0.2609	0.1912	0.9999	0.5007
0.9110	17.4842	0.2609	0.1909	0.9999	0.5095
0.9102	19.0594	0.2609	0.1906	0.9999	0.5061
0.9120	20.7182	0.2608	0.1899	0.9999	0.5167
0.9124	22.4774	0.2608	0.1903	0.9999	0.5141
0.9130	24.2988	0.2607	0.1898	0.9999	0.5245
0.9133	26.2024	0.2607	0.1912	0.9999	0.4985
0.9160	28.1882	0.2606	0.1913	0.9999	0.5117
0.9156	30.2944	0.2606	0.1914	0.9999	0.5062
0.9108	32.5678	0.2605	0.1896	0.9999	0.5054
0.9154	34.9896	0.2604	0.1923	0.9999	0.4960
0.9158	37.4828	0.2604	0.1915	0.9999	0.5060
0.9170	40.1594	0.2603	0.1923	0.9999	0.4967
0.9217	43.0334	0.2602	0.1945	0.9999	0.4964
0.9206	46.1132	0.2601	0.1922	0.9999	0.5212
0.9302	49.4888	0.2601	0.1968	0.9999	0.5177
0.9280	53.2124	0.2600	0.1951	0.9999	0.5237
0.9285	57.2182	0.2599	0.1960	0.9999	0.5152
0.9302	61.6914	0.2597	0.1971	0.9999	0.5056
0.9299	66.7390	0.2596	0.1959	0.9999	0.5222
0.9384	72.5242	0.2594	0.2007	0.9999	0.5097
0.9381	79.3460	0.2593	0.2004	0.9999	0.5061
0.9385	87.3620	0.2590	0.2005	0.9999	0.5046
0.9424	97.3338	0.2588	0.2012	0.9999	0.5200
0.9468	111.1646	0.2585	0.2038	0.9999	0.5015
0.9567	130.6796	0.2580	0.2068	0.9999	0.5310
0.9642	171.4448	0.2570	0.2101	0.9999	0.5149
