alpha = 0.1300
gamma = 10.0000
prob.endemic = 0.4000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1045290758
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6978	0.0000	12.7331	0.9453	0.9999	0.4938
0.6989	1.0058	11.6462	0.9458	0.9999	0.5013
0.6982	2.0160	9.3566	0.9461	0.9999	0.5097
0.6974	3.0348	7.3665	0.9446	0.9999	0.4997
0.6853	4.0592	8.0433	0.9465	0.9999	0.4932
0.6961	5.0902	6.0325	0.9449	0.9999	0.5062
0.6965	6.1284	4.3048	0.9427	0.9999	0.5030
0.6923	7.1808	3.5656	0.9401	0.9999	0.4965
0.6805	8.2372	2.9938	0.9363	0.9999	0.4980
0.6760	9.2928	2.0404	0.9076	0.9999	0.4924
0.6781	10.3620	2.0402	0.8085	0.9999	0.4892
0.6946	11.4654	1.5656	0.6500	0.9999	0.5063
0.6941	12.6198	1.2319	0.5562	0.9999	0.5038
0.7094	13.8526	1.0738	0.5177	0.9999	0.5172
0.7237	15.1560	1.0566	0.5032	0.9999	0.5288
0.7448	16.5558	1.1688	0.5028	0.9999	0.5453
0.7740	18.0910	1.7505	0.5254	0.9999	0.5613
0.7933	19.7460	2.0370	0.5342	0.9999	0.5784
0.7979	21.5434	2.0370	0.5418	0.9999	0.5622
0.8284	23.5900	2.0368	0.5793	0.9999	0.5861
0.8434	25.7762	2.0363	0.5963	0.9999	0.5900
0.8705	28.2428	2.0359	0.6327	0.9999	0.6166
0.8910	31.0124	2.0353	0.6599	0.9999	0.6347
0.9107	34.0452	2.0349	0.6936	0.9999	0.6493
0.9248	37.3462	2.0343	0.7215	0.9999	0.6465
0.9411	41.0244	2.0335	0.7462	0.9999	0.6800
0.9583	45.1834	2.0329	0.7786	0.9999	0.6954
0.9675	49.7160	2.0319	0.7991	0.9999	0.7012
0.9768	54.7692	2.0311	0.8155	0.9999	0.7354
0.9862	60.3978	2.0298	0.8327	0.9999	0.7799
0.9892	66.7706	2.0286	0.8399	0.9999	0.7896
0.9941	73.8354	2.0274	0.8504	0.9999	0.8432
0.9966	81.6956	2.0258	0.8561	0.9999	0.8678
0.9984	90.8396	2.0240	0.8603	0.9999	0.9316
0.9991	101.5388	2.0219	0.8633	0.9999	0.9495
0.9994	114.4452	2.0195	0.8644	0.9999	0.9536
0.9994	130.5772	2.0163	0.8648	0.9999	0.9442
0.9998	152.4242	2.0123	0.8654	0.9999	0.9844
0.9999	183.7660	2.0064	0.8649	0.9999	0.9968
0.9999	249.3044	1.9946	0.8634	0.9999	0.9975
