alpha = 0.2800
gamma = 5.0000
prob.endemic = 0.1000
Num. spacers = 40, Tmax = 10000, Num. replicates = 5000
seed = 524672588
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5437	0.0000	25.7399	0.9499	0.9999	0.4950
0.5516	1.0012	13.0322	0.9434	0.9999	0.5031
0.5383	2.0040	8.2691	0.9355	0.9999	0.4869
0.5497	3.0104	4.1928	0.9185	0.9999	0.4992
0.5460	4.0190	2.2760	0.8800	0.9999	0.4959
0.5398	5.0354	1.2730	0.7101	0.9999	0.4927
0.5392	6.0616	0.6717	0.4480	0.9999	0.4893
0.5531	7.1100	0.3871	0.3397	0.9999	0.5036
0.5483	8.1914	0.1978	0.2692	0.9999	0.5001
0.5566	9.3008	0.1119	0.2332	0.9999	0.5063
0.5580	10.4502	0.0594	0.2117	0.9999	0.5064
0.5640	11.6512	0.0351	0.1934	0.9999	0.5129
0.5658	12.8934	0.0184	0.1796	0.9999	0.5147
0.5657	14.1632	0.0088	0.1722	0.9999	0.5085
0.5754	15.5090	0.0057	0.1698	0.9999	0.5150
0.5798	16.9100	0.0031	0.1595	0.9999	0.5236
0.5785	18.3668	0.0015	0.1537	0.9999	0.5202
0.5780	19.8802	0.0008	0.1537	0.9999	0.5174
0.5851	21.5174	0.0004	0.1533	0.9999	0.5211
0.5831	23.2404	0.0002	0.1456	0.9999	0.5215
0.5878	25.0298	0.0001	0.1483	0.9999	0.5236
0.5913	26.9272	0.0000	0.1488	0.9999	0.5245
0.6032	28.9980	0.0000	0.1574	0.9999	0.5320
0.6069	31.2002	0.0000	0.1618	0.9999	0.5279
0.6116	33.6464	0.0000	0.1571	0.9999	0.5372
0.6289	36.2146	0.0000	0.1806	0.9999	0.5381
0.6179	39.0562	0.0000	0.1739	0.9999	0.5310
0.6380	42.1918	0.0000	0.1875	0.9999	0.5422
0.6462	45.6512	0.0000	0.1962	0.9999	0.5435
0.6542	49.6034	0.0000	0.2074	0.9999	0.5415
0.6678	53.9462	0.0000	0.2174	0.9999	0.5548
0.6844	59.0302	0.0000	0.2391	0.9999	0.5553
0.7105	64.9828	0.0001	0.2702	0.9999	0.5650
0.7210	72.0142	0.0006	0.2895	0.9999	0.5639
0.7484	80.8220	0.0235	0.3255	0.9999	0.5706
0.7734	92.1842	0.5775	0.3640	0.9999	0.5741
0.8197	107.6940	1.2540	0.4284	0.9999	0.5899
0.8671	130.8202	1.2530	0.5014	0.9999	0.6000
0.9184	168.6298	1.2495	0.5794	0.9999	0.6214
0.9681	252.0516	1.2417	0.6572	0.9999	0.6577
