alpha = 0.2200
gamma = 10.0000
prob.endemic = 0.1000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 783226651
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5492	0.0000	548.0263	0.9693	0.9999	0.4999
0.5482	1.0020	294.1443	0.9701	0.9999	0.5017
0.5443	2.0046	185.1531	0.9664	0.9999	0.4911
0.5534	3.0090	77.7628	0.9676	0.9999	0.5061
0.5451	4.0138	54.7108	0.9658	0.9999	0.4974
0.5402	5.0218	31.5022	0.9638	0.9999	0.4953
0.5484	6.0292	16.3876	0.9588	0.9999	0.4991
0.5403	7.0410	9.2119	0.9528	0.9999	0.4901
0.5429	8.0570	4.7601	0.9408	0.9999	0.4925
0.5409	9.0744	2.5784	0.9049	0.9999	0.4908
0.5496	10.0970	1.5141	0.7553	0.9999	0.5014
0.5417	11.1304	0.7952	0.4929	0.9999	0.4933
0.5495	12.1916	0.4242	0.3689	0.9999	0.5023
0.5501	13.2910	0.2240	0.2985	0.9999	0.5006
0.5596	14.4336	0.1365	0.2619	0.9999	0.5129
0.5560	15.6248	0.0670	0.2301	0.9999	0.5046
0.5592	16.8698	0.0327	0.2126	0.9999	0.5053
0.5704	18.1972	0.0221	0.1989	0.9999	0.5181
0.5783	19.5660	0.0132	0.1958	0.9999	0.5205
0.5746	21.0220	0.0060	0.1819	0.9999	0.5182
0.5822	22.5530	0.0032	0.1800	0.9999	0.5217
0.5921	24.2096	0.0020	0.1775	0.9999	0.5337
0.5983	25.9790	0.0009	0.1803	0.9999	0.5356
0.6099	27.8910	0.0008	0.1810	0.9999	0.5442
0.6169	29.9230	0.0005	0.1862	0.9999	0.5453
0.6226	32.1800	0.0003	0.1933	0.9999	0.5449
0.6245	34.6442	0.0001	0.1930	0.9999	0.5443
0.6354	37.3824	0.0001	0.2031	0.9999	0.5494
0.6570	40.4380	0.0001	0.2226	0.9999	0.5620
0.6600	43.9264	0.0000	0.2343	0.9999	0.5560
0.6748	47.8490	0.0002	0.2518	0.9999	0.5588
0.6941	52.5420	0.0004	0.2707	0.9999	0.5694
0.7121	58.1782	0.0018	0.3021	0.9999	0.5705
0.7423	65.1564	0.0269	0.3370	0.9999	0.5853
0.7637	74.2038	0.4785	0.3875	0.9999	0.5747
0.8168	86.0532	1.4953	0.4502	0.9999	0.6082
0.8664	102.6146	1.4959	0.5361	0.9999	0.6260
0.9082	126.6452	1.4935	0.6116	0.9999	0.6336
0.9570	167.7136	1.4888	0.6888	0.9999	0.7027
0.9864	254.2236	1.4785	0.7408	0.9999	0.7768
