alpha = 0.7700
gamma = 15.0000
prob.endemic = 0.0000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 881324554
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.4981	0.0000	8618.5557	0.9369	0.0000	0.4981
0.4981	1.0020	4470.7361	0.9344	0.9999	0.4976
0.5009	2.0056	1985.1659	0.9275	0.9999	0.5007
0.4941	3.0134	1432.2800	0.9278	0.9998	0.4940
0.4902	4.0246	657.4621	0.9234	0.0000	0.4902
0.4888	5.0390	323.3433	0.9155	0.9999	0.4887
0.4976	6.0558	127.6795	0.9018	0.0000	0.4976
0.4916	7.0802	71.5089	0.8947	0.0000	0.4916
0.4949	8.1034	30.8720	0.8784	0.9999	0.4947
0.4955	9.1314	16.2858	0.8587	1.0000	0.4954
0.4913	10.1672	7.8643	0.8332	0.9998	0.4911
0.4863	11.2082	3.9650	0.7972	0.0000	0.4863
0.4851	12.2564	1.8279	0.7310	0.0000	0.4851
0.4825	13.3132	0.8255	0.6148	0.9998	0.4824
0.4775	14.3904	0.3793	0.4136	0.0000	0.4775
0.4735	15.4910	0.2614	0.1827	1.0000	0.4734
0.4773	16.6246	0.0910	0.0938	0.0000	0.4773
0.4834	17.8090	0.0391	0.0623	0.9998	0.4833
0.4724	19.0420	0.0137	0.0432	0.0000	0.4724
0.4760	20.3410	0.0051	0.0346	0.0000	0.4760
0.4796	21.6854	0.0019	0.0287	0.9998	0.4795
0.4846	23.1076	0.0009	0.0230	0.0000	0.4846
0.4826	24.6284	0.0002	0.0203	0.9998	0.4825
0.4726	26.2192	0.0001	0.0168	0.0000	0.4726
0.4817	27.9092	0.0000	0.0152	0.0000	0.4817
0.4809	29.7058	0.0000	0.0135	1.0000	0.4807
0.4769	31.5942	0.0000	0.0121	0.9999	0.4768
0.4744	33.6790	0.0000	0.0103	0.9999	0.4743
0.4838	35.9460	0.0000	0.0098	0.0000	0.4838
0.4783	38.3652	0.0000	0.0090	0.0000	0.4783
0.4811	41.1170	0.0000	0.0080	0.9999	0.4810
0.4804	44.1312	0.0000	0.0066	0.9999	0.4803
0.4847	47.5442	0.0000	0.0065	0.9998	0.4845
0.4921	51.4178	0.0000	0.0064	0.0000	0.4921
0.4877	55.8808	0.0000	0.0056	0.0000	0.4877
0.4873	61.3628	0.0000	0.0051	0.9999	0.4871
0.4876	68.1124	0.0000	0.0046	0.9999	0.4875
0.4883	76.8752	0.0000	0.0043	0.9998	0.4881
0.4811	89.9824	0.0000	0.0036	1.0000	0.4810
0.4910	116.2720	0.0000	0.0031	1.0000	0.4907
