alpha = 0.1700
gamma = 0.0000
prob.endemic = 0.8000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1815641804
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.9005	0.0000	1.7720	0.8300	0.9999	0.4909
0.8935	1.0214	1.7718	0.7664	0.9999	0.4991
0.9055	2.0710	1.7716	0.7430	0.9999	0.5052
0.9094	3.1520	1.7714	0.7296	0.9999	0.5129
0.9184	4.2818	1.7712	0.7292	0.9999	0.5209
0.9210	5.4508	1.7711	0.7248	0.9999	0.5372
0.9308	6.6556	1.7707	0.7330	0.9999	0.5452
0.9384	7.9242	1.7705	0.7386	0.9999	0.5683
0.9493	9.2490	1.7704	0.7512	0.9999	0.5751
0.9479	10.6118	1.7700	0.7485	0.9999	0.5679
0.9577	12.0548	1.7698	0.7599	0.9999	0.5960
0.9611	13.5422	1.7697	0.7677	0.9999	0.5663
0.9652	15.1130	1.7693	0.7715	0.9999	0.5821
0.9704	16.7368	1.7689	0.7755	0.9999	0.6318
0.9760	18.4434	1.7688	0.7878	0.9999	0.6139
0.9770	20.2336	1.7684	0.7901	0.9999	0.5937
0.9829	22.1176	1.7681	0.8002	0.9999	0.6090
0.9844	24.0674	1.7677	0.7986	0.9999	0.6733
0.9857	26.1538	1.7674	0.8031	0.9999	0.6388
0.9897	28.3550	1.7670	0.8088	0.9999	0.6582
0.9920	30.6708	1.7666	0.8135	0.9999	0.7051
0.9924	33.0246	1.7661	0.8151	0.9999	0.6621
0.9953	35.5948	1.7658	0.8184	0.9999	0.7581
0.9955	38.3306	1.7652	0.8192	0.9999	0.7436
0.9967	41.2148	1.7647	0.8200	0.9999	0.7901
0.9971	44.2768	1.7642	0.8222	0.9999	0.7901
0.9984	47.6234	1.7636	0.8244	0.9999	0.8198
0.9986	51.2048	1.7629	0.8244	0.9999	0.8469
0.9988	55.1506	1.7622	0.8258	0.9999	0.8098
0.9990	59.2972	1.7615	0.8253	0.9999	0.8556
0.9999	63.9702	1.7608	0.8274	0.9999	0.9865
0.9998	69.1226	1.7599	0.8269	0.9999	0.9603
0.9997	74.8202	1.7589	0.8268	0.9999	0.9204
0.9999	81.4396	1.7578	0.8269	0.9999	0.9751
0.9999	89.1150	1.7564	0.8268	0.9999	0.9765
0.9999	98.3022	1.7549	0.8269	0.9999	0.9949
0.9999	109.7164	1.7529	0.8265	0.9999	0.9918
0.9999	124.9132	1.7505	0.8257	0.9999	0.9845
0.9999	147.7728	1.7466	0.8254	0.9999	0.9922
0.9999	192.6516	1.7398	0.8239	0.9999	0.9943
