alpha = 0.3600
gamma = 15.0000
prob.endemic = 0.5000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1315197924
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7580	0.0000	1.0232	0.8114	0.9999	0.5122
0.7379	1.0112	1.2754	0.8164	0.9999	0.4842
0.7393	2.0338	1.5312	0.8178	0.9999	0.4942
0.7360	3.0668	1.5962	0.8189	0.9999	0.4909
0.7341	4.1172	1.8802	0.8204	0.9999	0.4968
0.7362	5.1724	1.8754	0.8209	0.9999	0.5037
0.7280	6.2384	1.8442	0.8201	0.9999	0.4886
0.7267	7.3212	2.0601	0.8220	0.9999	0.4960
0.7174	8.4176	2.1517	0.8243	0.9999	0.4902
0.7217	9.5194	1.8290	0.8197	0.9999	0.4957
0.7179	10.6408	1.6558	0.8163	0.9999	0.4943
0.7168	11.7758	1.3876	0.8044	0.9999	0.4895
0.7064	12.9222	1.1662	0.7845	0.9999	0.4867
0.7071	14.0900	1.0219	0.7212	0.9999	0.4891
0.7060	15.2818	1.0217	0.6114	0.9999	0.4855
0.7105	16.5094	1.0213	0.4855	0.9999	0.4888
0.7135	17.7684	0.7560	0.4093	0.9999	0.4966
0.7223	19.0994	0.6788	0.3781	0.9999	0.4988
0.7327	20.5014	0.6677	0.3650	0.9999	0.5070
0.7380	21.9686	0.7057	0.3582	0.9999	0.5013
0.7400	23.5372	0.6612	0.3503	0.9999	0.5055
0.7552	25.2214	1.0030	0.3592	0.9999	0.5115
0.7582	26.9870	1.0196	0.3591	0.9999	0.5062
0.7704	28.8910	1.0196	0.3662	0.9999	0.5153
0.7817	30.9426	1.0195	0.3758	0.9999	0.5169
0.7974	33.1878	1.0193	0.3860	0.9999	0.5295
0.7994	35.6108	1.0190	0.3915	0.9999	0.5221
0.8144	38.2658	1.0188	0.4063	0.9999	0.5271
0.8226	41.2004	1.0185	0.4208	0.9999	0.5146
0.8343	44.5304	1.0182	0.4283	0.9999	0.5292
0.8525	48.2262	1.0178	0.4474	0.9999	0.5388
0.8753	52.3614	1.0175	0.4703	0.9999	0.5588
0.8818	57.2032	1.0170	0.4848	0.9999	0.5387
0.8965	62.8008	1.0165	0.5016	0.9999	0.5449
0.9186	69.6706	1.0157	0.5296	0.9999	0.5542
0.9333	77.9916	1.0149	0.5462	0.9999	0.5689
0.9544	88.5346	1.0140	0.5753	0.9999	0.5744
0.9682	102.7410	1.0127	0.5899	0.9999	0.6133
0.9820	125.0446	1.0107	0.6103	0.9999	0.6120
0.9900	170.6636	1.0066	0.6204	0.9999	0.6165
