alpha = 0.2800
gamma = 20.0000
prob.endemic = 0.4000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 431145083
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7010	0.0000	39.1465	0.8813	0.9999	0.4917
0.6947	1.0094	66.3791	0.8865	0.9999	0.4993
0.6982	2.0266	39.6646	0.8847	0.9999	0.4982
0.6877	3.0528	68.4918	0.8896	0.9999	0.4959
0.6834	4.0906	57.0405	0.8892	0.9999	0.4916
0.6870	5.1320	38.5732	0.8905	0.9999	0.5019
0.6841	6.1858	30.3231	0.8888	0.9999	0.4925
0.6799	7.2468	31.0390	0.8925	0.9999	0.5007
0.6720	8.3186	30.9992	0.8949	0.9999	0.4958
0.6800	9.3936	17.9284	0.8916	0.9999	0.5012
0.6650	10.4830	18.6627	0.8973	0.9999	0.4932
0.6622	11.5742	16.2441	0.8963	0.9999	0.4883
0.6605	12.6886	10.8916	0.8957	0.9999	0.4931
0.6665	13.8050	7.3394	0.8923	0.9999	0.4965
0.6642	14.9256	5.0907	0.8903	0.9999	0.5004
0.6592	16.0692	3.9521	0.8856	0.9999	0.4943
0.6598	17.2348	2.5431	0.8695	0.9999	0.4994
0.6531	18.4012	1.6357	0.8288	0.9999	0.4946
0.6485	19.5816	1.2731	0.7407	0.9999	0.4920
0.6453	20.8010	1.2728	0.6095	0.9999	0.4847
0.6498	22.0558	0.8854	0.4686	0.9999	0.4906
0.6623	23.3680	0.5851	0.3989	0.9999	0.4964
0.6763	24.7784	0.4461	0.3696	0.9999	0.5004
0.6892	26.3122	0.3462	0.3513	0.9999	0.5193
0.6910	27.9422	0.2431	0.3351	0.9999	0.5222
0.7092	29.7156	0.2670	0.3462	0.9999	0.5213
0.7169	31.6654	0.2472	0.3439	0.9999	0.5302
0.7292	33.8352	0.3046	0.3527	0.9999	0.5305
0.7518	36.2446	0.6171	0.3758	0.9999	0.5372
0.7639	38.9748	0.8421	0.3851	0.9999	0.5428
0.7949	42.0880	1.2689	0.4202	0.9999	0.5583
0.8114	45.7020	1.2686	0.4437	0.9999	0.5518
0.8380	49.9504	1.2683	0.4778	0.9999	0.5604
0.8629	55.0930	1.2678	0.5090	0.9999	0.5715
0.8913	61.4976	1.2670	0.5478	0.9999	0.5862
0.9117	69.3986	1.2660	0.5747	0.9999	0.5968
0.9364	79.7492	1.2650	0.6168	0.9999	0.5976
0.9656	94.0034	1.2635	0.6587	0.9999	0.6382
0.9810	115.7284	1.2611	0.6841	0.9999	0.6522
0.9946	160.9142	1.2563	0.7060	0.9999	0.7089
