alpha = 0.1300
gamma = 20.0000
prob.endemic = 0.5000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 418484646
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7524	0.0000	2.0443	0.9325	0.9999	0.4910
0.7504	1.0134	2.5572	0.9347	0.9999	0.5066
0.7462	2.0354	3.4387	0.9358	0.9999	0.5057
0.7441	3.0650	2.9311	0.9352	0.9999	0.4981
0.7427	4.1036	4.0395	0.9367	0.9999	0.5075
0.7323	5.1522	6.0596	0.9382	0.9999	0.4989
0.7399	6.2088	3.7510	0.9364	0.9999	0.5032
0.7314	7.2884	4.8096	0.9376	0.9999	0.4951
0.7262	8.3668	5.0764	0.9389	0.9999	0.4982
0.7277	9.4682	5.4508	0.9387	0.9999	0.4987
0.7182	10.5712	6.0345	0.9406	0.9999	0.4977
0.7143	11.6906	5.5961	0.9406	0.9999	0.4912
0.7282	12.8192	3.8614	0.9378	0.9999	0.5026
0.7102	13.9518	4.4152	0.9399	0.9999	0.4899
0.7060	15.0958	4.3248	0.9410	0.9999	0.5017
0.7091	16.2578	3.1766	0.9364	0.9999	0.4948
0.6988	17.4268	2.6227	0.9293	0.9999	0.4893
0.7031	18.6210	2.0408	0.8990	0.9999	0.4871
0.7044	19.8366	2.0402	0.8341	0.9999	0.4969
0.7058	21.1036	2.0400	0.7337	0.9999	0.5014
0.7226	22.4278	2.0137	0.6314	0.9999	0.5087
0.7416	23.8672	1.6608	0.5779	0.9999	0.5204
0.7608	25.4500	1.8269	0.5561	0.9999	0.5326
0.7933	27.1968	2.0378	0.5719	0.9999	0.5537
0.8135	29.1608	2.0376	0.5824	0.9999	0.5642
0.8419	31.3900	2.0372	0.6093	0.9999	0.5838
0.8751	33.9312	2.0368	0.6534	0.9999	0.6026
0.9005	36.8718	2.0363	0.6900	0.9999	0.6202
0.9251	40.2762	2.0357	0.7243	0.9999	0.6544
0.9457	44.0624	2.0349	0.7598	0.9999	0.6721
0.9634	48.5180	2.0341	0.7873	0.9999	0.7181
0.9762	53.6452	2.0333	0.8160	0.9999	0.7301
0.9850	59.5998	2.0321	0.8345	0.9999	0.7480
0.9906	66.4902	2.0309	0.8461	0.9999	0.7901
0.9961	74.5306	2.0292	0.8570	0.9999	0.8519
0.9977	84.3410	2.0274	0.8618	0.9999	0.8602
0.9996	96.5606	2.0252	0.8659	0.9999	0.9606
0.9994	112.7710	2.0219	0.8655	0.9999	0.9529
0.9998	136.8138	2.0175	0.8656	0.9999	0.9690
0.9999	184.5994	2.0090	0.8651	0.9999	0.9947
