alpha = 0.2200
gamma = 15.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1288666727
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6547	0.0000	185.9667	0.9287	0.9999	0.5046
0.6480	1.0060	177.0329	0.9297	0.9999	0.5004
0.6448	2.0162	144.4797	0.9320	0.9999	0.5041
0.6439	3.0314	111.6030	0.9309	0.9999	0.4989
0.6425	4.0524	71.1484	0.9309	0.9999	0.4991
0.6474	5.0798	45.9909	0.9302	0.9999	0.5056
0.6389	6.1086	37.8632	0.9326	0.9999	0.5008
0.6344	7.1460	31.4625	0.9327	0.9999	0.4996
0.6329	8.1856	21.0456	0.9310	0.9999	0.4949
0.6314	9.2338	13.5909	0.9310	0.9999	0.4987
0.6336	10.2900	8.7496	0.9275	0.9999	0.4989
0.6261	11.3478	6.1693	0.9247	0.9999	0.4941
0.6243	12.4174	4.0999	0.9172	0.9999	0.4939
0.6219	13.4946	2.4940	0.8934	0.9999	0.4949
0.6240	14.5774	1.5143	0.8160	0.9999	0.4936
0.6285	15.6840	1.5141	0.6558	0.9999	0.4944
0.6292	16.8068	0.8477	0.4901	0.9999	0.4955
0.6328	17.9942	0.5221	0.4091	0.9999	0.4949
0.6531	19.2396	0.3999	0.3802	0.9999	0.5165
0.6586	20.5770	0.2739	0.3541	0.9999	0.5175
0.6538	21.9708	0.1829	0.3314	0.9999	0.5143
0.6759	23.4878	0.1815	0.3407	0.9999	0.5262
0.6870	25.1578	0.1492	0.3382	0.9999	0.5294
0.7060	26.9432	0.2070	0.3570	0.9999	0.5346
0.7200	28.9302	0.2098	0.3631	0.9999	0.5440
0.7334	31.1354	0.2614	0.3705	0.9999	0.5550
0.7455	33.5764	0.3599	0.3836	0.9999	0.5576
0.7650	36.2806	0.7691	0.4101	0.9999	0.5640
0.7871	39.4198	1.5078	0.4390	0.9999	0.5674
0.8131	43.0430	1.5082	0.4703	0.9999	0.5796
0.8389	47.1098	1.5079	0.5071	0.9999	0.5936
0.8571	52.0212	1.5073	0.5373	0.9999	0.5956
0.8909	57.8560	1.5067	0.5847	0.9999	0.6200
0.9136	64.8018	1.5058	0.6259	0.9999	0.6181
0.9365	73.3306	1.5048	0.6613	0.9999	0.6398
0.9544	84.1510	1.5033	0.6910	0.9999	0.6607
0.9718	98.2672	1.5013	0.7214	0.9999	0.6861
0.9843	117.4060	1.4988	0.7457	0.9999	0.6975
0.9925	146.0362	1.4949	0.7593	0.9999	0.7642
0.9985	203.2510	1.4876	0.7703	0.9999	0.8264
