alpha = 0.4600
gamma = 10.0000
prob.endemic = 0.5000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1247974083
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.7510	0.0000	0.7773	0.7537	0.9999	0.4967
0.7495	1.0136	0.8353	0.7544	0.9999	0.5029
0.7491	2.0366	0.8421	0.7545	0.9999	0.5035
0.7428	3.0702	0.9058	0.7532	0.9999	0.4988
0.7385	4.1186	0.9385	0.7527	0.9999	0.4928
0.7412	5.1750	0.8653	0.7467	0.9999	0.4900
0.7384	6.2500	0.8937	0.7404	0.9999	0.4965
0.7342	7.3266	0.9139	0.7284	0.9999	0.5024
0.7278	8.4362	0.7767	0.6936	0.9999	0.4985
0.7229	9.5474	0.7766	0.6034	0.9999	0.4870
0.7298	10.6890	0.7765	0.4720	0.9999	0.4925
0.7195	11.8544	0.6646	0.3713	0.9999	0.4859
0.7277	13.0768	0.6471	0.3375	0.9999	0.4843
0.7341	14.3344	0.6500	0.3204	0.9999	0.4885
0.7305	15.6722	0.5549	0.3058	0.9999	0.4901
0.7407	17.0438	0.5529	0.2999	0.9999	0.5045
0.7460	18.4650	0.6534	0.3006	0.9999	0.5042
0.7511	19.9698	0.7753	0.3029	0.9999	0.4966
0.7529	21.5616	0.7750	0.2975	0.9999	0.5042
0.7622	23.2090	0.7751	0.3038	0.9999	0.5015
0.7682	24.9754	0.7750	0.3065	0.9999	0.5056
0.7777	26.8330	0.7748	0.3122	0.9999	0.5112
0.7864	28.8128	0.7747	0.3158	0.9999	0.5227
0.7791	30.9464	0.7745	0.3144	0.9999	0.5030
0.7877	33.2330	0.7743	0.3197	0.9999	0.5070
0.8013	35.7186	0.7741	0.3283	0.9999	0.5214
0.7998	38.3428	0.7739	0.3310	0.9999	0.5093
0.8140	41.2482	0.7737	0.3416	0.9999	0.5206
0.8350	44.4492	0.7735	0.3603	0.9999	0.5268
0.8352	47.9274	0.7732	0.3598	0.9999	0.5242
0.8415	51.8000	0.7729	0.3704	0.9999	0.5148
0.8510	56.1060	0.7726	0.3802	0.9999	0.5171
0.8685	61.1522	0.7722	0.3927	0.9999	0.5384
0.8776	66.9360	0.7718	0.4055	0.9999	0.5237
0.8968	73.7530	0.7713	0.4229	0.9999	0.5389
0.9060	81.8992	0.7706	0.4352	0.9999	0.5287
0.9254	92.4916	0.7699	0.4524	0.9999	0.5481
0.9443	107.3452	0.7688	0.4722	0.9999	0.5562
0.9619	129.0564	0.7673	0.4901	0.9999	0.5778
0.9792	173.9250	0.7644	0.5094	0.9999	0.5819
