alpha = 0.1300
gamma = 60.0000
prob.endemic = 0.7000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 454018264
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8542	0.0000	0.3123	0.8196	0.9999	0.5099
0.8390	1.0274	0.3122	0.8238	0.9999	0.4879
0.8390	2.0808	0.3122	0.8243	0.9999	0.4913
0.8374	3.1590	0.3122	0.8272	0.9999	0.5051
0.8431	4.2652	0.3121	0.8264	0.9999	0.5186
0.8277	5.4162	0.3121	0.8307	0.9999	0.4964
0.8317	6.5918	0.3120	0.8294	0.9999	0.5008
0.8139	7.7878	0.3120	0.8369	0.9999	0.4931
0.8165	9.0170	0.3119	0.8360	0.9999	0.4972
0.8024	10.2840	0.3119	0.8425	0.9999	0.4931
0.7976	11.5942	0.3118	0.8454	0.9999	0.4931
0.7913	12.9356	0.3118	0.8486	0.9999	0.4962
0.7797	14.3328	0.3118	0.8537	0.9999	0.4944
0.7728	15.7540	0.3117	0.8569	0.9999	0.4918
0.7714	17.2520	0.3116	0.8556	0.9999	0.4825
0.7657	18.7602	0.3116	0.8607	0.9999	0.4921
0.7660	20.3362	0.3115	0.8599	0.9999	0.4899
0.7505	21.9592	0.3115	0.8686	0.9999	0.4964
0.7446	23.6310	0.3115	0.8689	0.9999	0.4850
0.7386	25.3522	1.0295	0.8735	0.9999	0.4923
0.7305	27.1154	1.4880	0.8780	0.9999	0.4948
0.7198	28.9534	1.9308	0.8828	0.9999	0.4926
0.7070	30.8092	2.3207	0.8877	0.9999	0.4909
0.6986	32.7628	2.4617	0.8907	0.9999	0.4881
0.6896	34.7792	2.5747	0.8954	0.9999	0.4890
0.6864	36.8528	2.5152	0.8972	0.9999	0.4906
0.6764	38.9624	2.5718	0.9016	0.9999	0.4912
0.6724	41.1682	2.3663	0.8996	0.9999	0.4819
0.6657	43.3812	2.2532	0.9055	0.9999	0.4968
0.6511	45.6804	2.2264	0.9082	0.9999	0.4910
0.6349	48.0482	1.9634	0.9076	0.9999	0.4792
0.6176	50.5120	1.5816	0.9012	0.9999	0.4755
0.6241	53.0356	1.0794	0.8736	0.9999	0.4805
0.6064	55.6836	0.6794	0.8273	0.9999	0.4684
0.6036	58.4526	0.3100	0.7499	0.9999	0.4662
0.6139	61.6090	0.3095	0.6455	0.9999	0.4786
0.6409	65.4012	0.1971	0.5370	0.9999	0.4910
0.6890	70.7226	-0.0230	0.4778	0.9999	0.5077
0.7658	79.3962	0.3064	0.4786	0.9999	0.5422
0.8856	101.1312	0.3072	0.5859	0.9999	0.5969
