alpha = 0.1300
gamma = 60.0000
prob.endemic = 0.3000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1260346176
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6574	0.0000	8.7491	0.9191	0.9999	0.5068
0.5878	1.1502	12.9248	0.9478	0.9999	0.4879
0.5649	2.3880	14.0776	0.9598	0.9999	0.4879
0.5393	3.6768	15.1849	0.9714	0.9999	0.4850
0.5274	5.0080	15.6595	0.9746	0.9999	0.4792
0.5253	6.3628	15.1040	0.9797	0.9999	0.4874
0.5098	7.7650	15.7127	0.9835	0.9999	0.4787
0.5053	9.1632	15.6005	0.9865	0.9999	0.4808
0.4962	10.5768	15.5910	0.9890	0.9999	0.4764
0.4971	12.0182	14.7996	0.9905	0.9999	0.4800
0.4877	13.4848	14.7859	0.9930	0.9999	0.4755
0.4860	14.9452	14.5924	0.9942	0.9999	0.4763
0.4803	16.4070	14.3765	0.9950	0.9999	0.4722
0.4706	17.8804	14.3202	0.9953	0.9999	0.4626
0.4790	19.3724	13.2434	0.9954	0.9999	0.4713
0.4785	20.8750	12.6885	0.9963	0.9999	0.4731
0.4750	22.3746	12.4619	0.9974	0.9999	0.4715
0.4697	23.8928	11.9630	0.9972	0.9999	0.4658
0.4649	25.4256	11.7036	0.9979	0.9999	0.4623
0.4725	26.9510	10.9225	0.9975	0.9999	0.4697
0.4633	28.4712	10.7560	0.9980	0.9999	0.4610
0.4653	29.9828	10.1565	0.9983	0.9999	0.4640
0.4633	31.5016	9.7893	0.9980	0.9999	0.4618
0.4574	33.0540	9.4199	0.9981	0.9999	0.4557
0.4572	34.6324	8.8514	0.9981	0.9999	0.4563
0.4611	36.1926	8.1752	0.9981	0.9999	0.4603
0.4492	37.7296	8.0839	0.9979	0.9999	0.4484
0.4528	39.2912	7.4293	0.9976	0.9999	0.4522
0.4476	40.8632	6.8573	0.9975	0.9999	0.4472
0.4419	42.4538	6.4943	0.9970	0.9999	0.4416
0.4468	44.0362	5.7989	0.9961	0.9999	0.4465
0.4346	45.6486	5.5326	0.9956	0.0000	0.4346
0.4408	47.2612	4.6552	0.9946	0.9999	0.4406
0.4269	48.9126	4.2836	0.9929	0.9999	0.4268
0.4276	50.6024	3.5327	0.9890	0.9999	0.4273
0.4073	52.3054	3.1595	0.9834	0.0000	0.4073
0.4092	54.0878	2.4325	0.9668	0.9999	0.4089
0.3787	55.9564	1.8705	0.9287	0.0000	0.3787
0.3599	57.9932	1.1390	0.8439	0.0000	0.3599
0.3475	60.6016	0.3097	0.6641	0.0000	0.3475
