alpha = 0.4600
gamma = 60.0000
prob.endemic = 0.4000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 1651014343
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.6992	0.0000	5.0886	0.8360	0.9999	0.5088
0.6749	1.0572	6.6402	0.8485	0.9999	0.4933
0.6711	2.1698	6.7553	0.8550	0.9999	0.5013
0.6521	3.3430	8.0197	0.8727	0.9999	0.5041
0.6306	4.5530	9.1664	0.8832	0.9999	0.4922
0.6076	5.8256	10.3579	0.8959	0.9999	0.4816
0.6024	7.1140	10.6157	0.9026	0.9999	0.4859
0.5910	8.4626	10.9000	0.9147	0.9999	0.4912
0.5896	9.8294	10.6922	0.9176	0.9999	0.4935
0.5648	11.2408	11.5182	0.9287	0.9999	0.4802
0.5583	12.6892	11.3778	0.9360	0.9999	0.4833
0.5547	14.1634	11.3925	0.9391	0.9999	0.4831
0.5427	15.6824	11.6308	0.9494	0.9999	0.4846
0.5385	17.2004	11.5134	0.9511	0.9999	0.4834
0.5289	18.7382	11.1140	0.9584	0.9999	0.4821
0.5226	20.2902	10.7874	0.9623	0.9999	0.4808
0.5114	21.8904	10.9455	0.9675	0.9999	0.4756
0.5170	23.5042	10.2723	0.9687	0.9999	0.4845
0.5134	25.1572	9.9500	0.9691	0.9999	0.4809
0.5057	26.7938	9.5688	0.9730	0.9999	0.4784
0.5003	28.4806	9.3182	0.9746	0.9999	0.4745
0.4955	30.1626	8.9317	0.9763	0.9999	0.4725
0.4910	31.8456	8.5363	0.9784	0.9999	0.4714
0.4860	33.5522	8.1681	0.9803	0.9999	0.4699
0.4883	35.2610	7.4548	0.9805	0.9999	0.4724
0.4779	36.9780	7.1922	0.9819	0.9999	0.4650
0.4806	38.7320	6.5018	0.9824	0.9999	0.4699
0.4779	40.4732	5.8841	0.9834	0.9999	0.4688
0.4665	42.2382	5.7891	0.9811	0.9999	0.4581
0.4668	44.0236	5.0649	0.9790	0.9999	0.4591
0.4594	45.8356	4.5469	0.9782	0.9999	0.4534
0.4562	47.6626	3.8949	0.9721	0.9999	0.4509
0.4499	49.5254	3.2927	0.9655	0.9999	0.4454
0.4475	51.3810	2.6503	0.9507	0.9999	0.4445
0.4404	53.2924	2.0214	0.9223	0.9999	0.4370
0.4336	55.2600	1.3358	0.8690	0.9999	0.4304
0.4233	57.2812	0.7040	0.7750	0.9999	0.4209
0.4117	59.5628	0.0859	0.6300	0.9999	0.4092
0.4164	62.3818	-0.5862	0.4440	0.9999	0.4135
0.4355	67.1214	-1.6837	0.2548	0.9999	0.4312
