alpha = 0.1000
gamma = 60.0000
prob.endemic = 0.0000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 46201578
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.5016	0.0000	18.5599	0.9956	0.9999	0.5014
0.4348	1.1558	21.6791	1.0000	0.0000	0.4348
0.4310	2.3246	21.3999	1.0000	0.0000	0.4310
0.4349	3.5036	20.5014	1.0000	0.0000	0.4349
0.4298	4.6774	20.4694	1.0000	0.0000	0.4298
0.4271	5.8632	20.2831	1.0000	0.0000	0.4271
0.4248	7.0522	20.0600	1.0000	0.0000	0.4248
0.4286	8.2402	19.4303	1.0000	0.0000	0.4286
0.4226	9.4482	19.3639	1.0000	0.0000	0.4226
0.4163	10.6558	18.7675	1.0000	0.0000	0.4163
0.4172	11.8544	18.5073	1.0000	0.0000	0.4172
0.4171	13.0784	18.1430	1.0000	0.0000	0.4171
0.4119	14.2968	18.2827	1.0000	0.0000	0.4119
0.4159	15.5166	17.2329	1.0000	0.0000	0.4159
0.4076	16.7450	17.2309	1.0000	0.0000	0.4076
0.4131	17.9864	16.4034	1.0000	0.0000	0.4131
0.4046	19.2332	16.4579	1.0000	0.0000	0.4046
0.3964	20.4812	16.4622	1.0000	0.0000	0.3964
0.4016	21.7516	15.2539	1.0000	0.0000	0.4016
0.3922	23.0266	15.5558	1.0000	0.0000	0.3922
0.3908	24.3094	14.9569	1.0000	0.0000	0.3908
0.3949	25.5994	14.2191	1.0000	0.0000	0.3949
0.3835	26.9102	14.2276	1.0000	0.0000	0.3835
0.3774	28.2234	13.9346	1.0000	0.0000	0.3774
0.3808	29.5654	13.0114	1.0000	0.0000	0.3808
0.3728	30.9092	12.8442	1.0000	0.0000	0.3728
0.3710	32.2566	12.2090	1.0000	0.0000	0.3710
0.3622	33.6290	11.9611	1.0000	0.0000	0.3622
0.3592	35.0100	11.4634	1.0000	0.0000	0.3592
0.3547	36.4042	10.8941	1.0000	0.0000	0.3547
0.3461	37.8516	10.4564	1.0000	0.0000	0.3461
0.3336	39.3296	10.2271	1.0000	0.0000	0.3336
0.3226	40.8504	9.6805	1.0000	0.0000	0.3226
0.3168	42.4398	9.0488	1.0000	0.0000	0.3168
0.3010	44.0832	8.6742	1.0000	0.0000	0.3010
0.2865	45.7694	8.0067	1.0000	0.0000	0.2865
0.2638	47.5778	7.5139	1.0000	0.0000	0.2638
0.2421	49.5098	6.7177	1.0000	0.0000	0.2421
0.2036	51.7072	5.9780	1.0000	0.0000	0.2036
0.1434	54.4416	4.8988	0.9990	0.0000	0.1434
