alpha = 0.2200
gamma = 60.0000
prob.endemic = 0.6000
Num. spacers = 40, Tmax = 5000, Num. replicates = 5000
seed = 341245792
beta	age	efficacy	fitness	endemicBeta	epidemicBeta (means)
0.8089	0.0000	0.1828	0.8141	0.9999	0.5099
0.7983	1.0266	0.1827	0.8197	0.9999	0.5074
0.7938	2.0848	0.1827	0.8216	0.9999	0.5031
0.7848	3.1724	0.1826	0.8270	0.9999	0.5039
0.7768	4.2880	0.1826	0.8299	0.9999	0.4964
0.7645	5.4416	0.1826	0.8353	0.9999	0.4905
0.7608	6.6256	0.1825	0.8409	0.9999	0.5022
0.7541	7.8414	0.1825	0.8435	0.9999	0.4989
0.7420	9.0948	0.3362	0.8476	0.9999	0.4877
0.7368	10.4004	1.3883	0.8532	0.9999	0.4957
0.7310	11.7356	2.0352	0.8576	0.9999	0.4991
0.7189	13.1140	2.5120	0.8616	0.9999	0.4885
0.7137	14.5128	2.8146	0.8651	0.9999	0.4904
0.7064	15.9762	3.2042	0.8694	0.9999	0.4911
0.6965	17.4590	3.8377	0.8758	0.9999	0.4940
0.6884	18.9932	4.2250	0.8819	0.9999	0.4959
0.6782	20.5718	4.4341	0.8855	0.9999	0.4907
0.6661	22.1920	4.8160	0.8918	0.9999	0.4891
0.6604	23.8642	4.7213	0.8944	0.9999	0.4882
0.6507	25.5702	5.2202	0.9002	0.9999	0.4890
0.6407	27.3074	5.2896	0.9035	0.9999	0.4839
0.6313	29.1364	5.3640	0.9118	0.9999	0.4904
0.6271	30.9560	5.1395	0.9125	0.9999	0.4855
0.6154	32.8202	5.0419	0.9169	0.9999	0.4827
0.6067	34.7482	4.9828	0.9230	0.9999	0.4866
0.6025	36.7264	4.6827	0.9251	0.9999	0.4859
0.5867	38.7080	4.7492	0.9287	0.9999	0.4764
0.5892	40.7522	4.1297	0.9304	0.9999	0.4864
0.5745	42.8268	3.8116	0.9339	0.9999	0.4766
0.5702	44.9688	3.4132	0.9357	0.9999	0.4844
0.5516	47.1346	3.1682	0.9366	0.9999	0.4712
0.5483	49.3804	2.5510	0.9307	0.9999	0.4730
0.5412	51.6238	1.9893	0.9168	0.9999	0.4722
0.5315	53.9750	1.4121	0.8828	0.9999	0.4654
0.5230	56.3950	0.8414	0.8171	0.9999	0.4596
0.5271	58.9814	0.1923	0.7054	0.9999	0.4674
0.5263	61.9050	0.1036	0.5634	0.9999	0.4618
0.5514	65.4304	-0.5168	0.4288	0.9999	0.4791
0.6001	70.8804	-1.1124	0.3319	0.9999	0.5113
0.7027	83.3314	-0.9704	0.3510	0.9999	0.5394
